dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
traffic,speed_eps4.0,uniform,4.0,8,1,,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,1,4.0,1,0,0.0,24.485000928403537,0.4897000185680707,0.901324741355649,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,1,8.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,1,16.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,2,,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,2,4.0,1,0,0.0,24.485000928403537,0.4897000185680707,0.901324741355649,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,2,8.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,2,16.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,3,,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,3,4.0,1,0,0.0,24.485000928403537,0.4897000185680707,0.901324741355649,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,3,8.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,3,16.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,4,,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,4,4.0,1,0,0.0,24.485000928403537,0.4897000185680707,0.901324741355649,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,4,8.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,4,16.0,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
traffic,speed_eps4.0,uniform,4.0,8,6,,1,0,0.0,16.61523715170436,0.3323047430340872,0.8847942423267446,1.0,5.926056338028169,568
