dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
manufacturing,temperature_eps0.5,uniform,0.5,8,2,4.0,2,4,0.0,783.3565942462659,3.9167829712313296,0.9439874494525142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,2,8.0,2,4,0.0,391.67829712313295,1.9583914856156648,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,2,16.0,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,3,,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,3,4.0,2,4,0.0,783.3565942462659,3.9167829712313296,0.9439874494525142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,3,8.0,2,4,0.0,391.67829712313295,1.9583914856156648,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,3,16.0,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,4,,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,4,4.0,2,4,0.0,783.3565942462659,3.9167829712313296,0.9439874494525142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,4,8.0,2,4,0.0,391.67829712313295,1.9583914856156648,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,4,16.0,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,6,,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,6,8.0,2,4,0.0,391.67829712313295,1.9583914856156648,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,6,16.0,2,4,0.0,313.34263769850634,1.5667131884925316,0.9437968812067142,1.0,10.0,500
manufacturing,temperature_eps0.5,uniform,0.5,8,1,,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,4.0,4,0,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,8.0,4,0,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,16.0,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,4.0,4,0,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,8.0,4,0,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,16.0,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,4.0,4,0,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,8.0,4,0,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,16.0,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,4,,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,4,4.0,4,0,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,4,8.0,4,0,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,4,16.0,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,6,,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,6,8.0,4,0,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,6,16.0,4,0,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,,4,2,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,4.0,4,2,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,8.0,4,2,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,1,16.0,4,2,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,,4,2,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,4.0,4,2,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,8.0,4,2,0.0,412.34669124190685,2.0617334562095344,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,2,16.0,4,2,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,,4,2,0.0,329.87735299352545,1.6493867649676273,0.6932019709654147,1.0,10.0,250
manufacturing,temperature_eps0.5,uniform,0.5,8,3,4.0,4,2,0.0,824.6933824838137,4.123466912419069,0.6932019709654147,1.0,10.0,250
