dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
pune,pm10_eps1.0,uniform,1.0,8,1,,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,4.0,1,0,0.0,1984.8169997076059,1.984816999707606,0.6302824319531327,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,8.0,1,0,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,16.0,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,2,,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,2,4.0,1,0,0.0,1984.8169997076059,1.984816999707606,0.6302824319531327,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,2,8.0,1,0,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,2,16.0,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,3,,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,3,4.0,1,0,0.0,1984.8169997076059,1.984816999707606,0.6302824319531327,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,3,8.0,1,0,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,3,16.0,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,4,,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,4,4.0,1,0,0.0,1984.8169997076059,1.984816999707606,0.6302824319531327,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,4,8.0,1,0,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,4,16.0,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,6,,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,6,8.0,1,0,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,6,16.0,1,0,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,,1,2,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,4.0,1,2,0.0,1984.8169997076059,1.984816999707606,0.6302824319531327,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,8.0,1,2,0.0,1067.8623893784634,1.0678623893784633,0.5237863831976619,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,1,16.0,1,2,0.0,1044.9530562482935,1.0449530562482934,0.507766707394436,1.0,7.840303115352231,3563
pune,pm10_eps1.0,uniform,1.0,8,2,,1,2,0.0,1041.466127512827,1.041466127512827,0.5547890491540314,1.0,7.844144903117102,3561
pune,pm10_eps1.0,uniform,1.0,8,2,4.0,1,2,0.0,1981.7585366779097,1.9817585366779096,0.6302704654103811,1.0,7.844144903117102,3561
pune,pm10_eps1.0,uniform,1.0,8,2,8.0,1,2,0.0,1064.3246256979937,1.0643246256979937,0.572599726448168,1.0,7.844144903117102,3561
pune,pm10_eps1.0,uniform,1.0,8,2,16.0,1,2,0.0,1041.466127512827,1.041466127512827,0.5547890491540314,1.0,7.844144903117102,3561
pune,pm10_eps1.0,uniform,1.0,8,3,,1,2,0.0,1039.5411756958774,1.0395411756958775,0.554593590510936,1.0,7.850716896260894,3557
pune,pm10_eps1.0,uniform,1.0,8,3,4.0,1,2,0.0,1980.716579119628,1.980716579119628,0.6296690287885189,1.0,7.850716896260894,3557
pune,pm10_eps1.0,uniform,1.0,8,3,8.0,1,2,0.0,1062.3826495585793,1.0623826495585793,0.5724222664065864,1.0,7.850716896260894,3557
pune,pm10_eps1.0,uniform,1.0,8,3,16.0,1,2,0.0,1039.5411756958774,1.0395411756958775,0.554593590510936,1.0,7.850716896260894,3557
pune,pm10_eps1.0,uniform,1.0,8,4,,1,2,0.0,1016.3482036870496,1.0163482036870497,0.7482290941076806,1.0,7.915954415954416,3510
pune,pm10_eps1.0,uniform,1.0,8,4,4.0,1,2,0.0,1972.0598511041567,1.9720598511041567,0.6253813662904882,1.0,7.915954415954416,3510
pune,pm10_eps1.0,uniform,1.0,8,4,8.0,1,2,0.0,1039.1801153736646,1.0391801153736646,0.7609761479919087,1.0,7.915954415954416,3510
pune,pm10_eps1.0,uniform,1.0,8,4,16.0,1,2,0.0,1016.3482036870496,1.0163482036870497,0.7482290941076806,1.0,7.915954415954416,3510
pune,pm10_eps1.0,uniform,1.0,8,6,,1,2,0.0,1016.7587939689377,1.0167587939689378,0.8689364367546658,1.0,7.949094046591889,3477
