dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
traffic,speed_eps4.0,uniform,4.0,8,3,,4,2,0.0,15.992205597992532,0.31984411195985063,0.8376372681214015,1.0,6.0,140
traffic,speed_eps4.0,sample,4.0,8,3,,4,2,0.0,2.9914397732323956,0.059828795464647914,0.20082391081336712,0.12857142857142856,6.0,140
traffic,speed_eps4.0,budget_distribution,4.0,8,3,,2,4,0.0,22.7549001952207,0.45509800390441396,0.43426115005051535,0.5857142857142857,5.992857142857143,280
traffic,speed_eps4.0,budget_absorption,4.0,8,3,,2,2,0.0,19.314960427488163,0.38629920854976324,0.17803812263981283,0.4412811387900356,5.9786476868327405,281
traffic,speed_eps4.0,p_gated_uniform,4.0,8,3,,4,0,0.0,15.992205597992532,0.31984411195985063,0.8376372681214015,0.9859154929577465,5.943661971830986,142
traffic,speed_eps4.0,p_gated_sample,4.0,8,3,,4,0,0.0,2.710149446043024,0.054202988920860486,0.2470721394998937,0.11971830985915492,5.943661971830986,142
traffic,speed_eps4.0,p_gated_ba,4.0,8,1,,1,0,0.0,19.90594199199266,0.3981188398398532,0.3263227905118411,0.47183098591549294,5.926056338028169,568
traffic,speed_eps4.0,n_weighted,4.0,8,3,,4,0,0.0,15.992205597992532,0.31984411195985063,0.8376372681214015,0.9859154929577465,5.943661971830986,142
