w,epsilon,S,strategy,sensor,kl,kl_global,mae
4,1.0,1,budget_absorption,humidity,5.586539155948248,3.496355924540337,100.9915646000378
4,1.0,1,budget_absorption,power_draw,5.77192287848993,3.5559047407806834,1204.708461817171
4,1.0,1,budget_absorption,temperature,4.070247381244158,3.232952783401038,83.6205971172789
4,1.0,1,budget_absorption,vibration,3.3299976498738992,3.218653125377541,44.58612200508463
4,1.0,1,sample,humidity,0.9414019893228933,1.7706429824678689,63.647904761072255
4,1.0,1,sample,power_draw,0.6575361028699617,1.5859046751737462,388.0237614157201
4,1.0,1,sample,temperature,0.33568010907481244,1.4889798087590784,121.5536598149609
4,1.0,1,sample,vibration,0.3690286480740108,1.319202732882323,48.848002756698556
4,1.0,1,uniform,humidity,0.7673113138966946,0.8766069760363284,391.32568231501756
4,1.0,1,uniform,power_draw,0.9297680380096003,0.8863608877914259,1974.7186645761801
4,1.0,1,uniform,temperature,1.0670183817200034,0.6356137024444019,413.11341413489095
4,1.0,1,uniform,vibration,0.9109789235037431,0.8088053933096744,193.40227738659857
4,1.0,2,budget_absorption,humidity,5.620904266531046,3.5680893869041053,237.96016044223367
4,1.0,2,budget_absorption,power_draw,0.03228510090801312,2.505227860168634,92.61730587043836
4,1.0,2,budget_absorption,temperature,4.617512582832593,3.155631278326812,158.02657304094038
4,1.0,2,budget_absorption,vibration,0.3991526577706689,2.394037896649472,29.835782798390852
4,1.0,2,sample,humidity,0.6683717323966265,1.0230057803947568,65.45627747254933
4,1.0,2,sample,power_draw,0.6471455135579552,2.047986886763618,177.673285492566
4,1.0,2,sample,temperature,0.7368507071338973,1.6747580757901472,47.36256777905646
4,1.0,2,sample,vibration,0.6234281660518931,1.9626099578587104,18.798645414537283
4,1.0,2,uniform,humidity,0.9764519148121611,0.7593122073642762,182.2571312683716
4,1.0,2,uniform,power_draw,0.9086685946488902,0.7641430940363161,987.6151328538211
4,1.0,2,uniform,temperature,0.7441506523317791,0.6617562880204356,206.74406804088787
4,1.0,2,uniform,vibration,0.778707181135165,0.705272293618571,100.9973894754798
4,1.0,4,budget_absorption,humidity,0.20142169078402156,2.7342268953753246,31.465396194840036
4,1.0,4,budget_absorption,power_draw,0.16000593934054963,2.1228814664032023,204.83085886875554
4,1.0,4,budget_absorption,temperature,0.06456667739168304,2.6650361252346073,35.22229433702817
4,1.0,4,budget_absorption,vibration,0.514575105586588,1.2300849518831163,31.980508617808297
4,1.0,4,sample,humidity,0.7402680377265491,1.6941838487415992,23.456240080334343
4,1.0,4,sample,power_draw,0.7488835988832722,1.3177606522271494,151.3388814175097
4,1.0,4,sample,temperature,0.5529639967934491,2.0703373751879783,24.442735918775078
4,1.0,4,sample,vibration,0.5950573642418343,1.5497105082990144,18.652994419287324
4,1.0,4,uniform,humidity,0.2603800237145493,0.7818737278456176,92.71978147320638
4,1.0,4,uniform,power_draw,0.9004308990789522,0.8738757652661847,583.4705439180693
4,1.0,4,uniform,temperature,0.6571753234906199,0.7292657542112196,109.74658292778702
4,1.0,4,uniform,vibration,0.9735519699372982,0.7965624548454107,46.714186667330395
4,2.0,1,budget_absorption,humidity,5.468846449920799,3.43606659144562,133.2205445781802
4,2.0,1,budget_absorption,power_draw,3.4977380606207333,2.51873797523517,51.29761037638531
4,2.0,1,budget_absorption,temperature,3.310310981870518,3.1985121572327198,107.13764780221409
4,2.0,1,budget_absorption,vibration,0.11586738528209273,1.7649787304565794,6.8658777276044045
4,2.0,1,sample,humidity,0.37064401634157623,1.7451563644427874,55.724267557634704
4,2.0,1,sample,power_draw,0.08836984700518323,1.313557313362158,349.35920508391024
4,2.0,1,sample,temperature,0.48804334431456786,1.6111608296988613,63.80793506252001
4,2.0,1,sample,vibration,0.8453986657935805,1.8175875163268824,23.05525861923753
4,2.0,1,uniform,humidity,0.7172639432681227,0.7778718231567009,169.60298018352697
4,2.0,1,uniform,power_draw,0.9244614742454467,0.7984957000553226,832.1591094059114
4,2.0,1,uniform,temperature,0.9001574457264353,0.661121853355906,218.02520092053908
4,2.0,1,uniform,vibration,0.8836338981682996,0.7772688776969957,102.8387044590215
4,2.0,2,budget_absorption,humidity,0.9362653983437934,3.2780569461090954,29.036109344250562
4,2.0,2,budget_absorption,power_draw,3.972033876074575,3.183360698202819,201.3082232565608
4,2.0,2,budget_absorption,temperature,4.071202575921713,3.2464096436745704,80.80035065146552
4,2.0,2,budget_absorption,vibration,0.052396146843438976,2.101063685462516,16.060066759120613
4,2.0,2,sample,humidity,0.4428537646849615,1.3047972507724488,22.353489528348643
4,2.0,2,sample,power_draw,0.8880197089077573,1.7921490614848181,123.77669655718873
4,2.0,2,sample,temperature,0.7569547618072554,1.2865342156509316,29.71230300560435
4,2.0,2,sample,vibration,0.6630123138958348,1.4281679983836493,13.861445311611343
4,2.0,2,uniform,humidity,0.8256807244323607,0.6918181698990963,80.42408555505315
4,2.0,2,uniform,power_draw,0.7294859325372071,0.8169457213147694,543.9112787978228
4,2.0,2,uniform,temperature,0.7482570861022606,0.5430213291896223,101.60908368599166
4,2.0,2,uniform,vibration,0.44647715074564087,0.5386277018509805,58.77048730765614
4,2.0,4,budget_absorption,humidity,0.30661420273788065,1.8821371633408883,12.853076298652761
4,2.0,4,budget_absorption,power_draw,0.17627939626764766,1.9660191513795715,89.1077043571602
4,2.0,4,budget_absorption,temperature,0.10185955075827656,1.7537451684205747,10.235149759396483
4,2.0,4,budget_absorption,vibration,0.14354498898634752,1.599654050382684,13.742976598256796
4,2.0,4,sample,humidity,0.49770148207403686,1.348438490919551,10.904430154406477
4,2.0,4,sample,power_draw,0.4168624105749285,0.80086644943619,81.20760219069153
4,2.0,4,sample,temperature,0.23866713445097062,1.4203306040751882,17.61937019664129
4,2.0,4,sample,vibration,0.17205312202183445,1.3339338265760754,5.248542212151634
4,2.0,4,uniform,humidity,1.0252749905462153,0.8895450161825437,38.58329640453305
4,2.0,4,uniform,power_draw,0.6031061455404606,0.5534911831532081,219.2632735287455
4,2.0,4,uniform,temperature,0.6277363294629088,0.6205507312645039,52.92100263407646
4,2.0,4,uniform,vibration,0.972714368658312,0.6838050638851108,25.644392115434695
4,3.0,1,budget_absorption,humidity,5.430521259514783,3.4020046030323607,36.30643437260717
4,3.0,1,budget_absorption,power_draw,3.728533762155974,3.1253007919454294,270.86927822521034
4,3.0,1,budget_absorption,temperature,5.561405713209316,3.3753625597065495,174.0040938043651
4,3.0,1,budget_absorption,vibration,0.03381998538731433,1.803107935666038,6.735650502903044
4,3.0,1,sample,humidity,1.2654183284838736,2.360633806295319,39.99562434662748
4,3.0,1,sample,power_draw,0.5592641188656094,1.2353652311631718,125.26885776154067
4,3.0,1,sample,temperature,0.10163593756656214,1.2147794421455966,23.471403230945985
4,3.0,1,sample,vibration,0.8181144725866139,1.8297479824161493,17.49258237238778
4,3.0,1,uniform,humidity,1.13993193716991,0.7710764405788739,116.94057833400024
4,3.0,1,uniform,power_draw,0.6886186472244975,0.7632756319805217,704.3066027611561
4,3.0,1,uniform,temperature,0.6447966284104986,0.6204792658797893,147.47709484591107
4,3.0,1,uniform,vibration,0.5155121907539375,0.7756304573484988,65.51994416499512
4,3.0,2,budget_absorption,humidity,3.0156700599783886,3.266662516169458,158.8608316247006
4,3.0,2,budget_absorption,power_draw,3.4753556755448707,3.1784479126486733,289.3657014370122
4,3.0,2,budget_absorption,temperature,5.513009366224104,3.39281366735932,39.426710505920916
4,3.0,2,budget_absorption,vibration,0.3038060953992998,2.6421336754774023,10.365299252432896
4,3.0,2,sample,humidity,0.6623365845182422,2.1874347174968025,14.71144789160637
4,3.0,2,sample,power_draw,0.24422485637072275,1.179929448742084,87.51003850745906
4,3.0,2,sample,temperature,0.6320759466472706,1.6597232325956632,17.32303667599617
4,3.0,2,sample,vibration,0.24315197237726455,1.30609731659378,6.390643194399918
4,3.0,2,uniform,humidity,0.7032443602519053,0.769910025356194,57.8721936098286
4,3.0,2,uniform,power_draw,0.774329675852861,0.7230856063852187,335.61704144290263
4,3.0,2,uniform,temperature,0.8547854846142011,0.9676950593302752,63.21355594766512
4,3.0,2,uniform,vibration,0.41706500706214245,0.6805690851171144,31.178915112491676
4,3.0,4,budget_absorption,humidity,0.2572048901258487,2.82997618807911,18.192753725959868
4,3.0,4,budget_absorption,power_draw,0.25168911107636815,1.852321836893533,124.4582387739849
4,3.0,4,budget_absorption,temperature,0.08778467533182727,1.7950321721666773,20.409593852803088
4,3.0,4,budget_absorption,vibration,0.08770778641026565,1.4549011101025113,8.723467002891582
4,3.0,4,sample,humidity,0.4750743623937642,1.4916541190308457,7.1466719321945735
4,3.0,4,sample,power_draw,0.5183702818720911,1.5468291126945088,51.49016025477689
4,3.0,4,sample,temperature,0.2564910741454154,0.9865508788155901,10.243222231360896
4,3.0,4,sample,vibration,0.23772937625199578,1.3475848627961202,4.947005814912607
4,3.0,4,uniform,humidity,0.6442015266573761,0.7474640525389561,25.17021597424242
4,3.0,4,uniform,power_draw,0.6113443752521095,0.6624309731746493,153.18517475430042
4,3.0,4,uniform,temperature,0.7890287010641309,0.713568311692081,36.369146952516246
