sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,4,1.0,12,uniform,251.37414065984035,368.5644344982651,3.131665313047091,315.0,2.3940394348556224,0.5323497486089157,0.6289976257042538
temperature,4,1.0,12,sample,45.434811653897356,60.68641654413513,0.5462621662245555,315.0,0.43271249194187955,1.3129406567503659,2.8332201859853163
temperature,4,1.0,12,budget_absorption,226.58060439115195,429.6717963417634,2.822782874636309,315.0,2.157910518010971,0.30964588471172805,1.9182281064177304
temperature,4,2.0,4,uniform,52.92100263407646,74.5136466936571,0.6592995916198003,52.5,0.5040095488959663,0.6277363294629088,0.6205507312645039
temperature,4,2.0,4,sample,17.61937019664129,23.941656631804115,0.2168298572834657,52.5,0.167803525682298,0.23866713445097062,1.4203306040751882
temperature,4,2.0,4,budget_absorption,10.235149759396483,20.907081860241615,0.12751137961608577,52.5,0.09747761675615699,0.10185955075827656,1.7537451684205747
temperature,4,2.0,8,uniform,113.61223402986968,154.01139923747593,1.415402123365561,105.0,1.0820212764749493,0.8049989425688329,0.7134674144243043
temperature,4,2.0,8,sample,24.797354902572124,30.732300590008215,0.3008299179873507,105.0,0.23616528478640117,0.3386515064623328,2.8448213931145516
temperature,4,2.0,8,budget_absorption,32.81018489126908,45.25659923716057,0.40875532252019187,105.0,0.31247795134541984,0.39792094896138275,2.786114000665778
temperature,4,2.0,10,uniform,110.38530027090621,156.8055298344731,1.3752003886369217,131.25,1.0512885740086306,0.7763564477815705,0.6640810635511156
temperature,4,2.0,10,sample,8.611387810045965,14.617184410976597,0.10392933237984088,131.25,0.082013217238533,0.14610961629992256,1.61628977966709
temperature,4,2.0,10,budget_absorption,37.92627840753845,75.31910228048476,0.47249255722997346,131.25,0.3612026515003662,0.4128806604334274,2.441519144342189
temperature,4,2.0,12,uniform,161.97409789083915,219.619286308192,2.01790312498072,157.5,1.5426104561032299,0.9237111792869318,0.8788141761030891
temperature,4,2.0,12,sample,14.302106159201223,17.413355018893675,0.17195404157526978,157.5,0.13621053484953546,0.8822381374510049,2.3108990559115483
temperature,4,2.0,12,budget_absorption,75.42256948540684,133.90521208322286,0.9396282531621111,157.5,0.7183101855753032,0.3031581048246009,2.419465764418546
temperature,4,3.0,4,uniform,36.369146952516246,49.216033308115854,0.45309352695284427,35.0,0.34637282811920234,0.7890287010641309,0.713568311692081
temperature,4,3.0,4,sample,10.243222231360896,14.190156045145502,0.12605651562802134,35.0,0.09755449744153234,0.2564910741454154,0.9865508788155901
temperature,4,3.0,4,budget_absorption,20.409593852803088,28.715438874677304,0.2542664768715958,35.0,0.19437708431241035,0.08778467533182727,1.7950321721666773
temperature,4,3.0,8,uniform,59.89606284197394,86.87574602936698,0.7461961755410808,70.0,0.5704386937330851,0.6126155494041977,0.5625175968540582
temperature,4,3.0,8,sample,8.365926364923295,15.071408437195645,0.1014915079505936,70.0,0.07967548918974567,0.15956843043617944,1.9969788764299636
temperature,4,3.0,8,budget_absorption,11.926212149624616,18.405750396632996,0.14857894613575529,70.0,0.11358297285356778,0.2423123867774576,2.4399721208012686
