K_ext,T_max_over_dt,num_releases,release_rate,mean_wait_dt,p95_wait_dt,max_wait_dt,k_ext_firings,k_ext_firing_rate,total_extensions,extensions_per_release,suppression_rate,mae,kl_divergence,normalized_mae
0,1,3563,0.2657872579287118,1.0,1.0,1,0,0.0,0,0.0,0.0019646365422396855,478.3136500092932,0.08514485052280091,0.4783136500092932
1,2,3558,0.2509836987071388,1.0014052838673413,1.0,2,5,0.001405283867341203,5,0.001405283867341203,0.0005621135469364812,424.72091035063863,0.14681697450492653,0.42472091035063864
2,3,3557,0.25021085184143943,1.0016868147315152,1.0,3,4,0.001124543154343548,6,0.0016868147315153219,0.000281135788585887,465.79426687771854,0.16102221990814453,0.4657942668777185
4,5,3557,0.2547090244588136,1.0016868147315152,1.0,5,3,0.0008434073657576609,6,0.0016868147315153219,0.000281135788585887,450.0161845588518,0.22630466026496737,0.45001618455885184
8,9,3556,0.2730596175478065,1.0019685039370079,1.0,6,3,0.000843644544431946,7,0.001968503937007874,0.0,526.2672627305257,0.09158248148414544,0.5262672627305257
