K_ext,T_max_over_dt,num_releases,release_rate,mean_wait_dt,p95_wait_dt,max_wait_dt,k_ext_firings,k_ext_firing_rate,total_extensions,extensions_per_release,suppression_rate,mae,kl_divergence,normalized_mae
0,1,568,0.23591549295774647,1.0,1.0,1,0,0.0,0,0.0,0.01584507042253521,30.8214270725693,0.494947121560462,0.616428541451386
1,2,563,0.2877442273534636,1.0088809946714032,1.0,2,5,0.008880994671403197,5,0.008880994671403197,0.007104795737122558,35.21506099737614,0.22975609926402002,0.7043012199475228
2,3,562,0.23487544483985764,1.01067615658363,1.0,3,3,0.005338078291814947,6,0.010676156583629894,0.005338078291814947,25.80084849484782,0.4419908683887008,0.5160169698969564
4,5,560,0.3142857142857143,1.0142857142857142,1.0,5,2,0.0035714285714285713,8,0.014285714285714285,0.0017857142857142857,34.195271684830836,0.2553483691537626,0.6839054336966167
8,9,560,0.2625,1.0142857142857142,1.0,9,1,0.0017857142857142857,8,0.014285714285714285,0.0017857142857142857,29.361035011944118,0.24433314144964974,0.5872207002388824
