num_colluders_c,mean_mae,std_mae,predicted_mae_ratio,empirical_mae_ratio
1,38.38144483958543,0.1899321479034382,1.0,1.0
2,28.83128413877543,0.13888387747778944,0.7071067811865475,0.7511776656474314
4,21.033134691448762,0.1121713782262727,0.5,0.5480026814872754
8,15.097116406944231,0.07260982429138113,0.35355339059327373,0.3933441398582665
16,10.746539139830727,0.05249309634408315,0.25,0.2799930848029744
