publisher_id,t,true,noisy
BopadiSquare_65,112,31.5,-457.67168436902625
BopadiSquare_65,113,31.5,-7977.931368592944
BopadiSquare_65,114,31.5,-2099.9127158809715
BopadiSquare_65,115,31.5,7399.848622699332
BopadiSquare_65,116,31.5,-5072.135891332052
BopadiSquare_65,117,31.5,-6272.786991200855
BopadiSquare_65,118,31.5,-4605.014191502567
BopadiSquare_65,119,31.5,-9205.992631124744
BopadiSquare_65,120,31.5,-5113.283564663511
BopadiSquare_65,121,31.5,-7430.0312064990085
BopadiSquare_65,122,31.5,-342.3967715747886
BopadiSquare_65,123,31.5,-8246.962122116998
BopadiSquare_65,124,31.5,-5134.730238722323
BopadiSquare_65,125,31.5,-10027.10595748293
BopadiSquare_65,126,31.833333333333332,-11904.12087729086
BopadiSquare_65,127,32.5,-3915.339171939524
BopadiSquare_65,128,32.833333333333336,-960.4705034634507
BopadiSquare_65,129,33.5,8479.461376225818
BopadiSquare_65,130,0.0,8479.461376225818
BopadiSquare_65,131,34.0,-20489.13092163496
BopadiSquare_65,132,34.0,1944.3885183554328
BopadiSquare_65,133,34.0,-22059.37623081251
BopadiSquare_65,134,34.0,-27307.584552664608
BopadiSquare_65,135,34.25,5387.251100982311
BopadiSquare_65,136,34.5,-2579.322050389245
BopadiSquare_65,137,34.5,-10982.70370532174
BopadiSquare_65,138,34.5,4651.686926268718
BopadiSquare_65,139,34.5,886.4878726848685
BopadiSquare_65,140,34.5,-13425.033046497443
BopadiSquare_65,141,34.5,-1465.6141874483815
BopadiSquare_65,142,34.5,-12117.226368392037
BopadiSquare_65,143,34.5,-4309.6812735077765
BopadiSquare_65,144,34.5,172.62699756335903
BopadiSquare_65,145,34.5,8095.635553104044
BopadiSquare_65,146,34.5,-919.9010865894173
BopadiSquare_65,147,34.5,-17090.185140678957
BopadiSquare_65,148,33.833333333333336,1040.666406057599
BopadiSquare_65,149,33.0,19444.20795629771
BopadiSquare_65,150,31.75,21294.059283931645
BopadiSquare_65,151,31.25,1175.2237090863778
BopadiSquare_65,152,30.75,-9284.251868525505
BopadiSquare_65,153,30.5,14133.687519442346
BopadiSquare_65,154,30.5,-7338.86136439819
BopadiSquare_65,155,30.5,-6502.165043241399
BopadiSquare_65,156,0.0,-6502.165043241399
BopadiSquare_65,157,0.0,-6502.165043241399
BopadiSquare_65,158,30.5,698.9045625759935
BopadiSquare_65,159,30.5,408.4128634434926
BopadiSquare_65,160,30.0,7358.905712873899
BopadiSquare_65,161,29.666666666666668,-6452.014304487952
BopadiSquare_65,162,29.25,259.6154289681723
BopadiSquare_65,163,28.75,-4493.838416366152
BopadiSquare_65,164,28.833333333333332,1133.3136299861465
BopadiSquare_65,165,29.0,8438.961864893723
BopadiSquare_65,166,30.5,3461.4644932090173
BopadiSquare_65,167,30.75,5436.564259886488
BopadiSquare_65,168,31.333333333333332,4131.083323697049
BopadiSquare_65,169,32.0,-3837.344207450136
BopadiSquare_65,170,32.0,-5714.753467690569
BopadiSquare_65,171,32.0,-6249.804150114888
BopadiSquare_65,172,32.0,-16926.143745989506
BopadiSquare_65,173,32.0,-585.6312575968703
BopadiSquare_65,174,32.0,-8312.581533121935
BopadiSquare_65,175,32.0,-1118.5076043938798
BopadiSquare_65,176,32.0,-14623.45978076961
BopadiSquare_65,177,0.0,-14623.45978076961
BopadiSquare_65,178,0.0,-14623.45978076961
BopadiSquare_65,179,30.0,1077.7505220762241
BopadiSquare_65,180,29.5,13223.9309190313
BopadiSquare_65,181,29.0,-2225.1492365211934
BopadiSquare_65,182,28.833333333333332,-6786.26686303965
BopadiSquare_65,183,28.5,5348.617366299131
BopadiSquare_65,184,28.5,2019.1052680391838
BopadiSquare_65,185,28.5,-9940.541291809668
BopadiSquare_65,186,28.5,6206.401316768085
BopadiSquare_65,187,28.5,2250.6846599155574
BopadiSquare_65,188,28.5,-1024.5800040045153
BopadiSquare_65,189,28.5,-4249.800984628608
BopadiSquare_65,190,28.5,13081.3096855778
BopadiSquare_65,191,28.5,12630.293768141117
BopadiSquare_65,192,0.0,12630.293768141117
BopadiSquare_65,193,0.0,12630.293768141117
BopadiSquare_65,194,26.5,-9929.747992767221
BopadiSquare_65,195,25.0,-11182.393588821842
BopadiSquare_65,196,24.333333333333332,189.5297989568933
BopadiSquare_65,197,24.0,2678.017398285906
BopadiSquare_65,198,24.0,20827.707715304594
BopadiSquare_65,199,24.0,2248.454345603408
BopadiSquare_65,200,24.0,-12757.0244338453
BopadiSquare_65,201,0.0,-12757.0244338453
BopadiSquare_65,202,0.0,-12757.0244338453
BopadiSquare_65,203,0.0,-12757.0244338453
BopadiSquare_65,204,0.0,-12757.0244338453
BopadiSquare_65,205,0.0,-12757.0244338453
BopadiSquare_65,206,24.5,-5601.7254416443175
BopadiSquare_65,207,0.0,-5601.7254416443175
BopadiSquare_65,208,24.5,4804.3179754006005
BopadiSquare_65,209,25.666666666666668,2861.6214918067853
BopadiSquare_65,210,26.0,748.044770608375
BopadiSquare_65,211,26.0,45954.05923091113
BopadiSquare_65,212,26.0,1645.2858483597463
BopadiSquare_65,213,26.0,8259.244726673394
BopadiSquare_65,214,26.0,3145.2189880453875
BopadiSquare_65,215,26.0,1044.0397476385228
BopadiSquare_65,216,26.0,-31015.649819325896
BopadiSquare_65,217,0.0,-31015.649819325896
BopadiSquare_65,218,25.0,11584.73662999472
BopadiSquare_65,219,23.5,1759.684149869044
BopadiSquare_65,220,0.0,1759.684149869044
BopadiSquare_65,221,20.5,7668.506636109426
BopadiSquare_65,222,19.25,1141.3780524316046
BopadiSquare_65,223,19.0,3424.223256084646
BopadiSquare_65,224,19.0,-30755.6242082133
BopadiSquare_65,225,0.0,-30755.6242082133
BopadiSquare_65,226,0.0,-30755.6242082133
BopadiSquare_65,227,0.0,-30755.6242082133
BopadiSquare_65,228,0.0,-30755.6242082133
BopadiSquare_65,229,0.0,-30755.6242082133
BopadiSquare_65,230,0.0,-30755.6242082133
BopadiSquare_65,231,19.0,-2324.5139428739785
BopadiSquare_65,232,0.0,-2324.5139428739785
BopadiSquare_65,233,19.0,23120.4558974404
BopadiSquare_65,234,19.0,10117.321222807977
BopadiSquare_65,235,19.0,521.6690143620781
BopadiSquare_65,236,19.75,13925.464759894403
BopadiSquare_65,237,20.75,-3968.3828568218983
BopadiSquare_65,238,21.166666666666668,7207.984191108582
BopadiSquare_65,239,21.5,7020.991630736417
BopadiSquare_65,240,23.5,-16094.806031386468
BopadiSquare_65,241,23.5,-18153.468777581787
BopadiSquare_65,242,24.0,-4351.231026903381
BopadiSquare_65,243,24.0,4929.867814699714
BopadiSquare_65,244,24.5,-7201.451387318974
BopadiSquare_65,245,24.5,-1846.1236919671871
BopadiSquare_65,246,24.5,-25618.328698120386
BopadiSquare_65,247,26.0,6777.491448513363
BopadiSquare_65,248,27.5,16463.97438641952
BopadiSquare_65,249,28.0,1494.1514020368188
BopadiSquare_65,250,0.0,1494.1514020368188
BopadiSquare_65,251,0.0,1494.1514020368188
BopadiSquare_65,252,0.0,1494.1514020368188
BopadiSquare_65,253,0.0,1494.1514020368188
BopadiSquare_65,254,28.25,6638.40918106471
BopadiSquare_65,255,28.5,-764.0733958729738
BopadiSquare_65,256,28.5,2162.6391021319687
BopadiSquare_65,257,28.5,-7579.600530754829
BopadiSquare_65,258,29.0,5288.894557445959
BopadiSquare_65,259,29.5,-2077.1439102691133
BopadiSquare_65,260,31.0,-14293.8314984163
BopadiSquare_65,261,32.0,-14320.407919702482
BopadiSquare_65,262,32.5,-2297.809954650178
BopadiSquare_65,263,33.0,-10535.591088066865
BopadiSquare_65,264,0.0,-10535.591088066865
BopadiSquare_65,265,0.0,-10535.591088066865
BopadiSquare_65,266,0.0,-10535.591088066865
BopadiSquare_65,267,33.5,-3790.0096030717023
BopadiSquare_65,268,33.5,-6320.688594765272
BopadiSquare_65,269,32.5,9036.224893322922
BopadiSquare_65,270,32.25,20628.882504594458
BopadiSquare_65,271,0.0,20628.882504594458
BopadiSquare_65,272,31.5,1671.1323267155744
BopadiSquare_65,273,0.0,1671.1323267155744
BopadiSquare_65,274,29.0,-10979.831427979881
BopadiSquare_65,275,0.0,-10979.831427979881
BopadiSquare_65,276,28.5,9166.836347177008
BopadiSquare_65,277,28.5,-6098.962349411992
BopadiSquare_65,278,0.0,-6098.962349411992
BopadiSquare_65,279,0.0,-6098.962349411992
BopadiSquare_65,280,28.5,-4397.093459360599
BopadiSquare_65,281,28.5,-3641.062268519044
BopadiSquare_65,282,28.5,-38380.66254662982
BopadiSquare_65,283,0.0,-38380.66254662982
BopadiSquare_65,284,28.5,-3350.0870614384044
BopadiSquare_65,285,28.5,25893.70467750846
BopadiSquare_65,286,28.5,2622.954549103428
BopadiSquare_65,287,0.0,2622.954549103428
BopadiSquare_65,288,28.5,-26900.760826772224
BopadiSquare_65,289,28.0,-2414.6056047109137
BopadiSquare_65,290,0.0,-2414.6056047109137
BopadiSquare_65,291,28.0,1316.1830198424354
BopadiSquare_65,292,28.0,16534.715680296173
BopadiSquare_65,293,0.0,16534.715680296173
BopadiSquare_65,294,28.0,5536.061020673856
BopadiSquare_65,295,0.0,5536.061020673856
BopadiSquare_65,296,28.25,2260.7710632158087
BopadiSquare_65,297,29.0,19919.66145198995
BopadiSquare_65,298,0.0,19919.66145198995
BopadiSquare_65,299,0.0,19919.66145198995
Chitale Bandhu Corner_41,0,37.5,3957.309977073618
Chitale Bandhu Corner_41,1,37.75,-16698.64039383118
Chitale Bandhu Corner_41,2,38.0,3280.399308744847
