dataset,P_scope,P_label,kl_divergence,epsilon,w,N
wearable,1,per-pub,0.7940264749391198,1.0,6,10
wearable,2,P=2,0.20114751345833368,1.0,6,10
wearable,3,P=3,0.23258235096556845,1.0,6,10
wearable,4,P=4,0.23081470470886725,1.0,6,10
wearable,6,P=6,0.2212417744121246,1.0,6,10
wearable,8,P=8,0.2327372811071265,1.0,6,10
wearable,11,global,0.220051644573619,1.0,6,10
