t,global_true,global_noisy,num_pubs_total
0,284.3445,375.15568740513913,40
1,200.29875,-385.36039334428017,40
2,368.10025,204.44559522007916,40
3,182.44475,1352.1844658984614,40
4,387.79875,-4275.24291061304,40
5,212.889687785,-1201.2354142819192,40
6,508.71675000000005,926.5047279295557,40
7,188.07575,1242.7826720341905,40
8,256.24150000000003,-1040.5296504045868,40
9,350.073,512.8115522654424,40
10,538.97725,2065.195546288002,40
11,423.018,-448.28922231925236,40
12,326.09024999999997,-666.3894355761053,40
13,389.98075,-1139.0124697434749,40
14,282.6915,-539.6650318186819,40
15,614.2572500000001,3766.5864794200234,40
16,557.9939999999999,1534.476177062164,40
17,377.672,-689.7846296583775,40
18,334.76899999999995,1335.6635478705796,40
19,317.62275000000005,-283.58812846120435,40
20,609.1645240999999,462.29701932761054,40
21,530.61,2651.3706534486423,40
22,379.87674999999996,1388.5535244100886,40
23,271.62249999999995,-125.5413090691178,40
24,355.872,-691.6074208168889,40
25,413.338,119.85794177292274,40
26,261.15,-4215.010212892489,40
27,476.176,-207.31256177599045,40
28,275.35375,1170.1888513119848,40
29,409.2697353175,-3080.4329298058124,40
30,462.98625000000004,683.2424161469103,40
31,298.93747866250004,531.6378993292127,40
32,397.40250000000003,-1161.839708764388,40
33,284.86699999999996,15.531449336770606,40
34,631.86565707825,-1986.0863797722204,40
35,157.91750000000002,1675.7937353327663,40
36,423.8655,3689.877850198656,40
37,263.128,-1858.1028569366883,40
38,343.77975,1862.8829737783906,40
39,406.58299999999997,573.58608454559,40
40,270.94925,934.4587541396421,40
41,662.02125,963.6235920009492,40
42,322.06325,500.8124569975454,40
43,595.3665,-2601.790298424572,40
44,390.6325,-476.7415153658529,40
45,529.8285,623.4468437593853,40
46,382.964,1155.6530884457886,40
47,314.299,-376.0711236009828,40
48,491.5066627575,-67.47441022805396,40
49,201.937,1422.0059066016415,40
50,514.68025,3510.6723015568778,40
51,517.6442499999999,1986.045324311001,40
52,461.12525000000005,131.25314751868723,40
53,128.548024177,348.84300122340244,40
54,267.55775000000006,-75.50846656015801,40
55,221.84449999999998,-163.25868027720514,40
56,405.39447937500006,-626.9751750113329,40
57,569.61425,-174.00883857645533,40
58,461.05540829999995,-1949.9552826816705,40
59,354.6075,365.529790917647,40
60,301.10841545249997,16.760656121588397,40
61,295.64574999999996,500.96264696708045,40
62,413.7015,714.6495121149719,40
63,317.09524999999996,-937.467135351275,40
64,350.843,2373.394689169584,40
65,321.1845,2553.8682427354856,40
66,383.95225,612.8539922480484,40
67,335.785,81.57968941101888,40
68,312.40425,-7.283230573788899,40
69,335.625842975,-559.1711586541276,40
70,395.26449999999994,-196.17460592464175,40
71,365.415,-341.6855528407827,40
72,471.454153435,-586.3540508496587,40
73,264.413,2970.7554946829005,40
74,456.86,2910.561057131158,40
75,390.95275,609.0433000773489,40
76,566.3898302499999,1187.405215659521,40
77,258.16400000000004,-126.36611383613399,40
78,241.9265158025,-1450.2888036022255,40
79,305.57874817500004,229.77276061182283,40
80,346.8505,364.40140652916983,40
81,364.0825,-1367.9731702650588,40
82,337.5617583745001,395.2654996695999,40
83,632.859,4787.977850330329,40
84,344.4855,108.85412881826173,40
85,300.98302395,-97.71570268097503,40
86,454.7345,1398.6561609038458,40
87,445.48150000000004,1156.1777469290942,40
88,440.85549999999995,-27.33715696314067,40
89,258.235,570.309996716737,40
90,548.0347222222223,641.658619399485,36
91,621.6672222222222,42.144286292112156,36
92,335.9352777777778,-1338.4986390838976,36
93,543.2852777777779,21.55774800811878,36
94,383.80527777777775,283.8381934899689,36
95,183.32343749999998,661.5107993039269,32
96,359.6125,-606.4739218943866,28
97,171.1975,723.8105123029638,24
98,148.76749999999998,-1377.3539778129852,24
99,249.3875,1196.1397570830543,16
100,103.68916666666667,2814.4702939736844,12
101,197.11125,4292.895026691921,8
102,841.2575,2087.7731598767737,8
103,426.7875,-1979.540968071979,8
104,35.6,5068.636763871936,4
105,733.235,13435.664267823346,4
106,71.01,2956.4679937466285,4
107,235.875,33707.41659538471,4
108,69.50999999999999,30645.64082216698,4
109,628.1,-10356.37515050879,4
110,283.67499999999995,-30430.3115725381,4
111,722.175,-10625.74148743706,4
112,56.519999999999996,18829.278585695873,4
113,425.775,24188.059012953174,4
114,1288.88,-7339.642511324094,4
115,36.6325,-3233.828502816066,4
116,695.5949999999999,1735.3267097160087,4
117,42.865,-6051.416035983761,4
118,46.89727716,-773.8486384067189,4
