dataset,P_scope,P_label,kl_divergence,epsilon,w,N
pune,1,per-pub,0.8481701100996694,1.0,6,10
pune,2,P=2,0.4875417848230199,1.0,6,10
pune,3,P=3,0.47906327161968454,1.0,6,10
pune,4,P=4,0.5299035934027616,1.0,6,10
pune,6,P=6,0.4921410786795915,1.0,6,10
pune,8,P=8,0.5040910093417452,1.0,6,10
pune,11,global,0.524868151896211,1.0,6,10
