dataset,P_scope,P_label,kl_divergence,epsilon,w,N
traffic,1,per-pub,0.8576897126958177,1.0,6,6
traffic,2,P=2,0.6706980059280805,1.0,6,6
traffic,3,P=3,0.6318580741080151,1.0,6,6
traffic,4,P=4,0.6828728636763497,1.0,6,6
traffic,6,P=6,0.6652180698973618,1.0,6,6
traffic,7,global,0.6055791970499118,1.0,6,6
