publisher_id,t,true,noisy
Device_1,0,67.0,826.7211876662291
Device_1,1,69.0,-248.49574988940333
Device_1,2,104.0,-7.021733686938617
Device_1,3,61.0,-1638.6044381946958
Device_1,4,119.0,-2325.8176151479856
Device_1,5,61.0,-70.58366937010629
Device_1,6,220.0,1220.7135746911438
Device_1,7,63.0,-371.3017782370509
Device_1,8,85.0,-2119.555372315895
Device_1,9,91.0,-868.4720737397437
Device_1,10,68.0,-5464.591790238069
Device_1,11,183.25,-1291.4507101988531
Device_1,12,94.0,-755.6098318719033
Device_1,13,86.0,-2236.359076092696
Device_1,14,101.0,-6027.998537515325
Device_1,15,90.0,2055.608346977132
Device_1,16,118.0,-1112.7050684483795
Device_1,17,84.0,2093.819193701618
Device_1,18,106.0,1229.8949506263807
Device_1,19,67.0,3247.6241069917123
Device_1,20,70.0,1155.7872405049668
Device_1,21,116.0,3850.724760759314
Device_1,22,108.0,435.55152085130123
Device_1,23,87.0,334.6227059664728
Device_1,24,92.0,464.18751477977935
Device_1,25,113.0,-211.43581100818983
Device_1,26,68.0,543.3486322226945
Device_1,27,69.0,2557.668210860391
Device_1,28,214.69,9149.229606237108
Device_1,29,61.0,3975.633136588475
Device_1,30,62.0,-710.2668116040676
Device_1,31,104.0,3090.787203111362
Device_1,32,117.0,-1101.4173585017786
Device_1,33,108.0,2303.0512130142342
Device_1,34,123.0,-2197.8281495686983
Device_1,35,68.0,4174.17025855954
Device_1,36,143.0,700.0304271647612
Device_1,37,98.0,847.3576654510944
Device_1,38,93.0,-37.54080889054373
Device_1,39,92.0,-2575.7998498522393
Device_1,40,64.0,4.066868896180459
Device_1,41,58.0,-1037.4724667930423
Device_1,42,60.0,66.95924925348405
Device_1,43,75.0,346.51025446226754
Device_1,44,76.0,382.98965070203013
Device_1,45,64.0,883.3278789764361
Device_1,46,106.0,-6409.189982443573
Device_1,47,59.0,-264.28454706883963
Device_1,48,152.0,-582.193072394625
Device_1,49,78.0,21.803880343613457
Device_1,50,112.0,3062.9808614603585
Device_1,51,101.0,-687.9380694881024
Device_1,52,101.0,-2005.136554232461
Device_1,53,61.0,886.5930796914031
Device_1,54,200.38,344.43565667289835
Device_1,55,100.0,2681.1520947912277
Device_1,56,73.0,-1668.0770179865058
Device_1,57,71.0,-2032.0377217475534
Device_1,58,63.0,-328.47381687052257
Device_1,59,77.0,-2438.7656525146385
Device_1,60,69.0,706.9025043822169
Device_1,61,66.0,-2411.7667009537577
Device_1,62,78.0,-152.98297347899396
Device_1,63,58.0,1825.5992757617094
Device_1,64,87.0,458.405311494416
Device_1,65,105.0,-2345.513603738727
Device_1,66,100.0,472.35210215275026
Device_1,67,83.0,252.63806039303302
Device_1,68,60.0,5102.6391975813885
Device_1,69,105.0,-3935.2499963331516
Device_1,70,89.0,7071.918340356542
Device_1,71,88.0,-1817.2410866551309
Device_1,72,220.0,-715.4591500145704
Device_1,73,220.0,2083.200462972943
Device_1,74,94.0,-1333.5169623007291
Device_1,75,83.0,638.9623080744258
Device_1,76,143.0,548.009889262207
Device_1,77,220.0,-1263.8860285160063
Device_1,78,76.0,-778.5516472755919
Device_1,79,115.0,-635.6560510979153
Device_1,80,126.0,-8565.301749241167
Device_1,81,66.0,559.1431427023707
Device_1,82,118.0,680.9724883367195
Device_1,83,82.0,-2010.3775531717997
Device_1,84,101.0,-2241.2063519224475
Device_1,85,151.0,929.6771898009071
Device_1,86,62.0,-1508.7973861810672
Device_1,87,63.0,11621.32978558206
Device_1,88,63.0,425.49617593471606
Device_1,89,83.0,1778.2115540208029
Device_1,90,57.0,-933.0377271846921
Device_1,91,220.0,301.795735779143
Device_1,92,94.0,3259.639214650219
Device_1,93,108.0,-195.2886803532407
Device_1,94,59.0,-75.18053647319638
Device_1,95,66.0,-4937.6998519392
Device_1,96,77.0,-1999.7395517736295
Device_1,97,63.0,1349.606847222417
Device_1,98,82.0,192.64278433376347
Device_1,99,75.0,-1740.1065863239858
Device_1,100,0.0,-1740.1065863239858
Device_1,101,0.0,-1740.1065863239858
Device_1,102,0.0,-1740.1065863239858
Device_1,103,0.0,-1740.1065863239858
Device_1,104,0.0,-1740.1065863239858
Device_1,105,0.0,-1740.1065863239858
Device_1,106,0.0,-1740.1065863239858
Device_1,107,0.0,-1740.1065863239858
Device_1,108,0.0,-1740.1065863239858
Device_1,109,0.0,-1740.1065863239858
Device_1,110,0.0,-1740.1065863239858
Device_1,111,0.0,-1740.1065863239858
Device_1,112,0.0,-1740.1065863239858
Device_1,113,0.0,-1740.1065863239858
Device_1,114,0.0,-1740.1065863239858
Device_1,115,0.0,-1740.1065863239858
Device_1,116,0.0,-1740.1065863239858
Device_1,117,0.0,-1740.1065863239858
Device_1,118,0.0,-1740.1065863239858
Device_10,0,85.0,4249.0320062764695
Device_10,1,135.0,1008.4015502307166
Device_10,2,58.0,296.6940337309354
Device_10,3,145.0,300.11120436122974
Device_10,4,103.0,760.0558850874725
Device_10,5,159.0,1152.5788595862814
Device_10,6,109.0,-1613.257284631829
Device_10,7,66.0,272.48287313955746
Device_10,8,106.0,885.3625536363928
Device_10,9,66.0,669.8329398849487
Device_10,10,82.0,794.4377033525772
Device_10,11,58.0,-2904.949491108637
Device_10,12,120.0,59.4682227635178
Device_10,13,83.0,-536.7013279955712
Device_10,14,62.0,-7322.037060182681
Device_10,15,134.0,-577.0342351633586
Device_10,16,77.0,2643.5112473304666
Device_10,17,64.0,-456.0553493611435
Device_10,18,145.0,-124.5079218862221
Device_10,19,97.0,2431.4458361938005
Device_10,20,94.0,-338.48736587455966
Device_10,21,111.0,-848.0976281298189
Device_10,22,140.0,-3074.0156699536897
Device_10,23,81.0,-3619.560385930093
Device_10,24,57.0,731.0348605524053
Device_10,25,60.0,985.2777031725464
Device_10,26,64.0,-464.8807136769477
Device_10,27,103.0,-3607.5371236941246
Device_10,28,146.0,-170.75827662115694
Device_10,29,84.0,2103.1622161440373
Device_10,30,88.0,1439.463948489165
Device_10,31,60.0,565.8860256046892
Device_10,32,87.0,-2706.763399699664
Device_10,33,114.0,102.63273466240557
Device_10,34,119.0,-674.1053619332472
Device_10,35,62.0,-711.1740639959105
Device_10,36,76.0,-173.7644889866862
Device_10,37,88.0,-524.1572997089876
Device_10,38,65.0,381.74930557259796
Device_10,39,66.0,2024.1197188580359
Device_10,40,159.0,1606.124211937137
Device_10,41,129.0,1838.198863316084
Device_10,42,108.0,1417.307043148738
Device_10,43,97.0,-2678.452805893029
Device_10,44,93.0,1528.4379928529058
Device_10,45,83.0,373.86336137168246
Device_10,46,63.0,-3305.6651639490874
Device_10,47,108.0,-1605.1692950529705
Device_10,48,220.0,186.98937378321514
Device_10,49,220.0,220.3158559239034
Device_10,50,85.0,-177.63096159044056
