t,global_true,global_noisy,num_pubs_total
0,148.00286577438953,172.21918241575997,24
1,94.27394263093235,-139.9897147067797,16
2,137.54150444840957,85.17201491883489,20
3,116.99399138837953,584.8898777477641,16
4,134.59532899697007,-1108.8824471665075,24
5,125.17312065427791,-440.4769201724898,16
6,123.02829382891622,256.72044676637404,20
7,113.552369620165,394.8075488292825,24
8,146.94400538587638,-268.02276274359144,20
9,140.97028169198194,193.0466184169235,20
10,145.799076683755,552.7906223605555,24
11,105.60245237941211,-126.74614023905517,24
12,130.39344393303531,-134.2678055539261,24
13,140.13376282187176,-471.4635250755182,16
14,143.77398377250907,-185.16862895496374,16
15,143.64409736869973,1404.575789136709,16
16,115.90518894388666,506.4980597687522,16
17,120.4599973307651,-306.522654532586,16
18,130.77387009304772,451.0601254116332,20
19,140.69922054095252,-19.623680382035303,24
20,140.42648885878017,101.26182091947635,24
21,131.79629223924388,810.4397013428093,20
22,127.55730568591453,450.33387349714286,20
23,137.62025804269092,-21.245265584956172,16
24,125.33797397029231,-293.65379435646327,16
25,93.223152231278,-0.6904664013867432,20
26,105.04526526765636,-1327.32600285794,20
27,167.56900956289314,-51.14733020542377,20
28,127.79417204491455,414.14140446474966,20
29,121.1522822697234,-1274.7287837796016,16
30,97.38468967481553,185.48715613357962,16
31,101.03770856098913,175.50184317433718,20
32,153.5360749736136,-345.4214318309906,20
33,130.43608415896182,44.24870794672843,20
34,130.6111250704487,-707.1335267217019,20
35,142.2230091489636,546.9900052377013,24
36,142.9763664947851,1449.3813065742474,16
37,129.78488321521255,-435.87667863457114,24
38,130.0289634734844,535.1231564810553,24
39,159.7762070028911,213.21719405747993,20
40,153.1057852380884,365.4288265627739,20
41,136.05013352259874,216.47742472285188,24
42,102.96472780184448,160.164474041059,20
43,135.53998562672282,-717.0351606198299,24
44,120.99681022044514,-225.95279592589605,16
45,114.60698143062352,152.05431893437765,16
46,131.88821554381792,379.14872384647026,20
47,116.20702551834282,-104.71141403397164,20
48,149.28684334377573,-29.587100011601535,20
49,144.65219177656246,535.0742418890877,20
50,124.42334386177724,1322.8201644845285,16
51,134.23954392287027,525.8131637391373,24
52,122.87914656915515,34.9132525741384,24
53,134.01410790867988,222.13209872724087,16
54,165.11834265793908,73.63401824189692,24
55,121.19285190924496,-2.040165779460679,20
56,136.9485178038421,-138.35005669918007,24
57,134.19507892093395,-103.76430942353176,20
58,160.47470434569283,-482.46147991608603,24
59,133.70856649756823,139.53378832031328,12
60,116.11490784655885,40.28883869164909,24
61,123.40881997479346,205.53557876162563,16
62,113.94407890032625,194.19688213098541,24
63,137.14441538427286,-364.6805387562372,16
64,107.7856754560027,647.1327925678918,24
65,122.61739935309339,1313.3820621453524,12
66,117.84919747922103,191.09775499859654,20
67,137.16342619837843,35.48130196278596,16
68,126.26220447110876,23.962210687496324,20
