t,global_true,global_noisy,num_pubs_total
0,318.0848,390.7337499241113,50
1,319.1502,-149.37711467542414,50
2,317.97,187.04627617606334,50
3,318.4732,1254.264972718769,50
4,318.376,-3412.057328490432,50
5,319.57739999999995,-811.7226816535356,50
6,316.6552,650.8855823436445,50
7,317.6068000000001,1161.3723376273524,50
8,317.21199999999993,-720.2049203236695,50
9,318.9384,449.12924181235394,50
10,316.3588,1537.3334370304015,50
11,317.5784,-379.4673778554019,50
12,315.3374,-478.64634846088416,50
13,315.35459999999995,-907.83997579478,50
14,320.454,-337.4312254549456,50
15,313.58399999999995,2835.4473835360186,50
16,316.28740000000005,1097.4731416497311,50
17,315.38660000000004,-538.5787037267021,50
18,318.3478,1119.0634382964636,50
19,317.7828,-163.1859027689635,50
20,319.3198,201.82579618208854,50
21,314.63039999999995,2011.2389227589138,50
22,318.5716,1125.5130195280708,50
23,320.05920000000003,2.3281527447058465,50
24,315.7416,-522.2419366535112,50
25,316.52479999999997,81.74075341833813,50
26,317.116,-3263.812170313991,50
27,317.5678,-229.22304942079228,50
28,314.62379999999996,1030.4918810495878,50
29,317.9506,-2473.81153209865,50
30,316.66880000000003,492.8737329175282,50
31,319.1722,505.3325365333701,50
32,317.81100000000004,-929.5827670115106,50
33,316.80699999999996,101.33855946941648,50
34,315.53319999999997,-1778.8284294803766,50
35,318.59299999999996,1532.893988266213,50
36,312.3164,2925.1262801589246,50
37,317.79460000000006,-1379.190085549351,50
38,315.5906,1530.8731790227125,50
39,317.451,451.0534676364721,50
40,315.0464,845.8540033117138,50
41,318.4678,559.7496736007594,50
42,318.1238,461.1231655980363,50
43,319.5386,-2238.186838739658,50
44,315.6474,-378.25181229268236,50
45,314.6106,389.50527500750826,50
46,320.20980000000003,938.3610707566309,50
47,317.7118,-234.5842988807862,50
48,313.01719999999995,-134.16765838844327,50
49,317.10760000000005,1293.1627252813132,50
50,315.43580000000003,2712.2294412455026,50
51,315.606,1490.3268594488009,50
52,313.0114,49.11371801494971,50
53,318.62260000000003,494.85858163712203,50
