t,global_true,global_noisy,num_pubs_total
0,38.931349999999995,57.09358748102782,40
1,39.16765416666667,-77.96417450218937,40
2,39.37955000000001,6.648619044015838,40
3,38.10624583333333,272.0541890130256,40
4,36.443312500000005,-896.165019622608,40
5,34.51981666666667,-234.83734563179416,42
6,33.905633333333334,117.46322891924447,40
7,33.7196,244.6609844068381,40
8,33.761688888888884,-196.775404516371,45
9,33.743514814814816,62.674812995337916,45
10,33.741451851851856,305.06914896971887,45
11,33.89962222222222,-120.99943952342262,45
12,34.26695555555555,-142.17387743575205,45
13,34.86831111111111,-236.95270573217329,45
14,36.47176111111111,-109.72495565665457,45
15,37.812844444444444,598.2269296746707,45
16,38.165837037037036,211.76266851475503,45
17,37.76506666666667,-152.00500082815603,45
18,37.40123333333334,215.33804184365857,45
19,37.29772222222222,-69.58421172643632,45
20,37.19186666666667,11.082088040464129,45
21,37.309777777777775,414.33389394642523,45
22,37.46649259259259,216.78680804327502,45
23,37.61861111111111,-32.98828827895427,45
24,37.8665,-148.35206370078023,45
25,38.17664444444445,-13.997588129258176,45
26,38.40202222222222,-757.3597934031092,45
27,37.29844444444444,-84.2106332046205,45
28,36.45549814814815,195.53729393694545,45
29,35.594522222222224,-584.7970626885888,45
30,35.36948888888889,74.52614064833959,45
31,34.9341625,81.47424663334252,40
32,34.98174444444444,-242.21687044700232,45
33,34.799955555555556,-13.081920117907437,45
34,35.6329925925926,-429.78070284749106,45
35,36.28304444444444,306.1277085036029,45
36,36.51506666666667,617.139484479761,45
37,36.586311111111115,-340.5213967887446,45
38,36.912822222222225,306.97561756060276,45
39,37.48782962962963,67.17726688217897,45
40,38.23082962962963,156.18807481001045,45
41,39.07451111111111,92.6927052446132,45
42,39.49185555555555,71.26949235511917,45
43,39.807566666666666,-528.5758641643685,45
44,40.09115555555555,-114.10866939837385,45
45,40.41723888888889,57.06050000166851,45
46,40.608896296296294,177.97584535332538,45
47,40.72457037037037,-82.00789604758211,45
48,40.77944444444445,-58.594968530765144,45
49,40.96124814814816,257.8623870995511,45
50,38.761488888888884,571.382298054556,45
51,36.69528888888889,297.7443687664002,45
52,35.24118148148148,-23.402747848529685,45
53,34.88337222222222,74.04692369713821,45
54,34.6443625,-33.968880812031614,40
55,34.15761481481481,-37.489488492572185,43
56,34.10159111111111,-149.43079189090363,45
57,34.06414074074074,-98.13551945062908,45
58,34.034333333333336,-394.5897895078525,45
59,34.056820370370374,35.99856097795206,45
60,34.333822222222224,-16.216890547717604,45
61,35.4390888888889,71.93987057192543,45
62,36.64756666666666,90.1494354871061,45
63,37.27831481481481,-185.75499813652297,45
64,37.926384722222224,414.2150710793541,43
65,38.30304652777778,453.6860684320542,43
66,38.59876064814815,81.18513129894785,43
67,38.76400347222222,-8.530007800146365,43
68,38.635141203703704,-20.84159936816399,43
69,38.51781111111111,-127.95604965709867,43
70,38.946075694444446,-71.0891068031633,43
71,39.54323611111111,-92.010355115081,43
72,40.04569722222222,-156.75582915631892,43
73,40.11068541666667,543.6162658227877,43
74,38.776712499999995,495.2792347569596,43
75,36.67450069444444,77.24948675534657,43
76,35.10783333333334,150.64557945603494,43
77,34.10966458333333,-42.79635818389349,40
78,33.028274999999994,-305.4147888809451,40
79,32.242900000000006,17.081702487364566,40
80,31.637455555555555,34.75761671629685,45
81,31.77555185185185,-276.1454561952697,45
82,32.01508750000001,43.55583575901996,40
83,32.40135,863.4251200660657,40
84,33.074891666666666,-14.051382569680989,40
85,35.3993125,-44.340432826195006,40
86,37.2658625,226.05019468076918,40
87,37.86560833333333,180.00485771915214,40
88,38.01453333333333,-55.62399805929479,40
89,37.97341458333333,100.38841392668074,40
90,37.70436666666667,54.55666815857397,40
91,37.4183625,-66.8957659674198,40
92,37.580975,-263.81713003510157,40
93,37.7976,-56.11335535853864,40
94,37.923125,19.9290498281944,40
95,38.1241,114.6340778886283,40
96,38.496541666666666,-96.75555739854747,40
97,38.68012916666667,104.99369064302232,40
98,38.18157083333334,-144.9530065042249,40
99,36.65940833333334,112.39958889997769,40
100,34.918437499999996,197.56530513842108,40
101,33.59425,197.42560106767684,40
102,32.66369999999999,79.04567804192646,43
103,31.89677777777778,-53.66156775367035,45
104,31.3950962962963,120.87130543179737,45
105,31.05262407407407,256.873588835378,45
106,31.028727777777778,82.32575877771784,45
107,31.391250000000003,626.4408783623949,45
108,31.760074074074076,575.3357331348204,45
109,32.8094962962963,-162.47006193497106,45
110,34.43847777777778,-511.58795017845506,45
111,35.53225555555555,-166.20848199888104,45
112,35.86768518518518,369.6056155975562,45
113,35.894614814814815,458.33521948953785,45
114,35.82985000000001,-117.56610575687277,45
115,35.69471851851851,-22.446810420433764,45
116,35.826166666666666,55.17001242882497,43
117,36.0443,-77.33767276248855,43
118,36.41354444444445,21.143852992040376,43
119,36.559118518518524,129.23111880269212,43
120,36.184451851851854,36.31692567415706,43
121,34.872275925925926,140.15299374615267,43
122,33.146483333333336,43.064217195141865,43
123,31.784662962962962,-1061.9518723800682,43
124,30.998475925925923,-12.998061637784772,43
125,30.51008703703703,27.572399635180926,43
126,30.066787037037038,-10.113403668242427,43
127,29.76617222222223,-34.321062095137826,43
128,29.85582222222222,30.084546739704,43
129,30.53853333333334,8.931654024367695,43
130,31.897105952380958,-328.1031457310433,38
131,34.15659074074074,-78.04367866833803,43
132,34.50210555555556,440.07646699100434,43
133,34.676773611111116,-538.15838816485,41
134,34.93149074074074,-434.97760764597047,43
135,34.9205037037037,-70.8777015038085,43
136,35.191266666666664,68.67040690482294,43
137,35.76648888888889,780.9838116990052,43
138,36.34022407407407,821.2429602351394,43
139,36.807540740740734,834.1298872635156,43
140,37.392133333333334,-244.22432372755503,43
141,37.85432592592592,112.0740172558937,43
142,38.45567222222222,47.602199838085795,43
143,38.863809259259256,-158.42927882615038,43
144,38.10018518518518,441.9810439883583,43
145,36.338300000000004,-98.77773657408491,43
146,34.923907407407405,1178.9373242309243,43
147,33.845874074074075,67.48083032009521,43
