dataset,P_scope,P_label,kl_divergence,epsilon,w,N
manufacturing,1,per-pub,0.8329751898018435,1.0,6,10
manufacturing,2,P=2,0.847343761903965,1.0,6,10
manufacturing,3,P=3,0.862709970640638,1.0,6,10
manufacturing,4,P=4,0.8210166216516239,1.0,6,10
manufacturing,6,P=6,0.8696274360921304,1.0,6,10
manufacturing,8,P=8,0.8817494949887091,1.0,6,10
manufacturing,11,global,1.2841151890060138,1.0,6,10
