dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.035866696866664,9.916659744718554,495.8329872359277,1.0688675606210178,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,501.7933348433332,6,8960,4,4077,2,energy/building01
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.091220725535504,9.916659744718554,495.8329872359277,1.064652531604295,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,504.5610362767752,6,8960,5,5077,2,energy/building01
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,78.92047566005029,80.0,4000.0,0.8334310728516345,0.9993303571428572,1.0,1.0,0.9993303571428572,3946.0237830025135,6,8960,0,77,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,81.32682079113474,80.0,4000.0,0.9488880488867334,0.9993303571428572,1.0,1.0,0.9993303571428572,4066.341039556737,6,8960,1,1077,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.3210746104257,80.0,4000.0,0.8630166691356579,0.9993303571428572,1.0,1.0,0.9993303571428572,4016.0537305212847,6,8960,2,2077,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.0236302101808,80.0,4000.0,0.788585446200479,0.9993303571428572,1.0,1.0,0.9993303571428572,4001.18151050904,6,8960,3,3077,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.28601255420769,80.0,4000.0,0.9407760279970502,0.9993303571428572,1.0,1.0,0.9993303571428572,4014.300627710384,6,8960,4,4077,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.64166106545325,80.0,4000.0,1.028257267075119,0.9993303571428572,1.0,1.0,0.9993303571428572,4032.0830532726623,6,8960,5,5077,3,energy/building01/CT1
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,78.84823739636938,80.0,4000.0,0.8319304583607521,0.999329009170208,1.0,1.0,0.999329009170208,3942.411869818469,6,8942,0,77,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,81.44315132215786,80.0,4000.0,0.9491878019543214,0.999329009170208,1.0,1.0,0.999329009170208,4072.1575661078928,6,8942,1,1077,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.3346493761375,80.0,4000.0,0.8623269015865538,0.999329009170208,1.0,1.0,0.999329009170208,4016.732468806875,6,8942,2,2077,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,79.98264086709942,80.0,4000.0,0.788048805547134,0.999329009170208,1.0,1.0,0.999329009170208,3999.132043354971,6,8942,3,3077,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.37341579828413,80.0,4000.0,0.9404817976749252,0.999329009170208,1.0,1.0,0.999329009170208,4018.670789914206,6,8942,4,4077,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.58863450088448,80.0,4000.0,1.0281205943942096,0.999329009170208,1.0,1.0,0.999329009170208,4029.431725044224,6,8942,5,5077,3,energy/building01/CT2
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,78.37291946765835,80.0,4000.0,0.6744162157560611,0.982719659710222,1.0,1.0,0.982719659710222,3918.645973382917,130,7523,0,77,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,81.87608575372585,80.0,4000.0,0.8224504448910029,0.982719659710222,1.0,1.0,0.982719659710222,4093.804287686293,130,7523,1,1077,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.40055980469847,80.0,4000.0,0.8931160646020736,0.982719659710222,1.0,1.0,0.982719659710222,4020.027990234923,130,7523,2,2077,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,80.0852669257017,80.0,4000.0,0.8707747629625313,0.982719659710222,1.0,1.0,0.982719659710222,4004.263346285085,130,7523,3,3077,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,81.06109327001954,80.0,4000.0,0.9808490413849028,0.982719659710222,1.0,1.0,0.982719659710222,4053.054663500977,130,7523,4,4077,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,79.94521105412187,80.0,4000.0,0.8301452861006517,0.982719659710222,1.0,1.0,0.982719659710222,3997.260552706093,130,7523,5,5077,3,energy/building01/CT3
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,83.33844747048626,80.0,4000.0,0.8749551314676006,0.4870081662954714,1.0,1.0,0.4870081662954714,4166.922373524313,1382,2694,0,77,3,energy/building01/CT4
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,87.99579846075859,80.0,4000.0,0.8979841692849971,0.4870081662954714,1.0,1.0,0.4870081662954714,4399.78992303793,1382,2694,1,1077,3,energy/building01/CT4
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,78.60836536309569,80.0,4000.0,0.8496231084627978,0.4870081662954714,1.0,1.0,0.4870081662954714,3930.418268154784,1382,2694,2,2077,3,energy/building01/CT4
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,78.10581591388582,80.0,4000.0,1.0578229985891454,0.4870081662954714,1.0,1.0,0.4870081662954714,3905.2907956942913,1382,2694,3,3077,3,energy/building01/CT4
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,87.01723056057055,80.0,4000.0,0.8936141619356954,0.4870081662954714,1.0,1.0,0.4870081662954714,4350.861528028528,1382,2694,4,4077,3,energy/building01/CT4
