dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,1,energy,n_weighted,6,2.0,4,0.1414725678764261,0.0023083477092941,14.147256787642611,0.2308347709294111,0.0845764176755939,0.0571608840670962,0.5207820849944863,0.0033694791270455,0.0801139669335538,0.0002373644428239,6.426711341080669,0.0,6
energy,current,static,1,energy,n_weighted,6,2.0,6,0.1640369641564427,0.0016207958243451,16.403696415644273,0.1620795824345179,0.1082753294706763,0.1211131765841843,0.51346594282806,0.0034135805582818,0.0749161121469285,0.0002476775626832,6.426711341080669,0.0,6
energy,current,static,1,energy,n_weighted,6,2.0,8,0.1883823863873699,0.0197046411648092,18.838238638737,1.9704641164809236,0.3730487843750288,0.2303784495277912,0.5091893573104872,0.0028718771882093,0.0719692712066308,0.0001361360895607,6.426711341080669,0.0,6
energy,current,static,1,energy,n_weighted,6,2.0,10,0.1957809741509188,0.0030140775326201,19.57809741509189,0.3014077532620169,0.3831486666048105,0.1136836715919127,0.5071323550202166,0.0031386813440402,0.0702235459367418,0.0001208675408802,6.426711341080669,0.0,6
energy,current,static,1,energy,n_weighted,6,2.0,12,0.2104898246743159,0.0034108676422578,21.04898246743159,0.3410867642257862,0.3713088996768235,0.1988422160363579,0.505810501314785,0.0036671416271468,0.069028744477404,0.0001612744304551,6.426711341080669,0.0,6
energy,current,static,1,energy,n_weighted,6,2.0,16,0.2320662407339169,0.005486571282395,23.20662407339169,0.5486571282394999,0.3252317697914884,0.1362168418798352,0.5039938360618655,0.00296200467446,0.0674658403338452,0.0001647522132278,6.426711341080669,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,4,0.1741346063036981,0.0120786323348294,17.413460630369812,1.207863233482941,0.2334908790889963,0.1014094996391675,0.1914414414414414,0.0094424772785728,0.0441775138270681,0.0006092121030402,6.609474643182509,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,6,0.1987642236470272,0.0184403264218681,19.87642236470273,1.8440326421868103,0.1921856394802599,0.1633467151434964,0.1868610183216924,0.0090623636878207,0.0346189255572766,0.0009346582132858,6.609474643182509,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,8,0.2158756582194341,0.0205962408513758,21.58756582194341,2.0596240851375853,0.1002427997938829,0.0474229775477316,0.1834699868407733,0.0085005347206845,0.0290811889239135,0.0010441691993028,6.609474643182509,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,10,0.2297635876399867,0.0223964568444136,22.976358763998675,2.2396456844413684,0.2008217942966305,0.2220621719434356,0.1838242737119141,0.0076599838695203,0.0247209531660817,0.0010396119739616,6.609474643182509,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,12,0.2438022181363474,0.0275921828451698,24.380221813634737,2.7592182845169813,0.2276074368160892,0.2087295583332519,0.1832169247899585,0.0078078398870569,0.0221139940885289,0.0008188552278948,6.609474643182509,0.0,6
energy,current,static,1,energy,p_gated_ba,6,1.0,16,0.2626233570794654,0.0362297717769519,26.262335707946534,3.622977177695198,0.1196721070658266,0.0568396421345578,0.1836724364814252,0.0091080403608341,0.0178793479370536,0.0008377623522135,6.609474643182509,0.0,6
energy,current,static,1,energy,uniform,1,1.0,4,0.726836006894139,0.0066534493037804,72.6836006894139,0.6653449303780465,0.776860405197836,0.1399108677800827,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,1,energy,uniform,1,1.0,6,1.0902524726427956,0.0099819753495437,109.02524726427956,0.9981975349543768,0.7779041981072111,0.140672777094174,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,1,energy,uniform,1,1.0,8,1.453668938391452,0.0133105018033516,145.3668938391452,1.3310501803351638,0.7784812947950653,0.1411028026835579,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,1,energy,uniform,1,1.0,10,1.8170854041401088,0.0166390284203245,181.7085404140109,1.663902842032447,0.7787126066580731,0.1413748746776677,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,1,energy,uniform,1,1.0,12,2.180501869888766,0.019967555118865,218.0501869888766,1.9967555118864933,0.7787808496547032,0.1416573285887741,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,1,energy,uniform,1,1.0,16,2.90733480138608,0.0266246086382805,290.73348013860794,2.662460863828064,0.7790044969154963,0.1418411993212182,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,4,0.1414725678764261,0.0023083477092941,14.147256787642611,0.2308347709294111,0.0845764176755939,0.0571608840670962,0.5207820849944863,0.0033694791270455,0.0801139669335538,0.0002373644428239,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,6,0.1640369641564427,0.0016207958243451,16.403696415644273,0.1620795824345179,0.1082753294706763,0.1211131765841843,0.51346594282806,0.0034135805582818,0.0749161121469285,0.0002476775626832,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,8,0.1883823863873699,0.0197046411648092,18.838238638737,1.9704641164809236,0.3730487843750288,0.2303784495277912,0.5091893573104872,0.0028718771882093,0.0719692712066308,0.0001361360895607,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,10,0.1957809741509188,0.0030140775326201,19.57809741509189,0.3014077532620169,0.3831486666048105,0.1136836715919127,0.5071323550202166,0.0031386813440402,0.0702235459367418,0.0001208675408802,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,12,0.2104898246743159,0.0034108676422578,21.04898246743159,0.3410867642257862,0.3713088996768235,0.1988422160363579,0.505810501314785,0.0036671416271468,0.069028744477404,0.0001612744304551,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,2.0,16,0.2320662407339169,0.005486571282395,23.20662407339169,0.5486571282394999,0.3252317697914884,0.1362168418798352,0.5039938360618655,0.00296200467446,0.0674658403338452,0.0001647522132278,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,4,0.1741346063036981,0.0120786323348294,17.413460630369812,1.207863233482941,0.2334908790889963,0.1014094996391675,0.1914414414414414,0.0094424772785728,0.0441775138270681,0.0006092121030402,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,6,0.1987642236470272,0.0184403264218681,19.87642236470273,1.8440326421868103,0.1921856394802599,0.1633467151434964,0.1868610183216924,0.0090623636878207,0.0346189255572766,0.0009346582132858,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,8,0.2158756582194341,0.0205962408513758,21.58756582194341,2.0596240851375853,0.1002427997938829,0.0474229775477316,0.1834699868407733,0.0085005347206845,0.0290811889239135,0.0010441691993028,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,10,0.2297635876399867,0.0223964568444136,22.976358763998675,2.2396456844413684,0.2008217942966305,0.2220621719434356,0.1838242737119141,0.0076599838695203,0.0247209531660817,0.0010396119739616,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,12,0.2438022181363474,0.0275921828451698,24.380221813634737,2.7592182845169813,0.2276074368160892,0.2087295583332519,0.1832169247899585,0.0078078398870569,0.0221139940885289,0.0008188552278948,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,16,0.2626233570794654,0.0362297717769519,26.262335707946534,3.622977177695198,0.1196721070658266,0.0568396421345578,0.1836724364814252,0.0091080403608341,0.0178793479370536,0.0008377623522135,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,uniform,1,1.0,4,0.726836006894139,0.0066534493037804,72.6836006894139,0.6653449303780465,0.776860405197836,0.1399108677800827,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,2,energy/building01,uniform,1,1.0,6,1.0902524726427956,0.0099819753495437,109.02524726427956,0.9981975349543768,0.7779041981072111,0.140672777094174,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,2,energy/building01,uniform,1,1.0,8,1.453668938391452,0.0133105018033516,145.3668938391452,1.3310501803351638,0.7784812947950653,0.1411028026835579,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
energy,current,static,2,energy/building01,uniform,1,1.0,10,1.8170854041401088,0.0166390284203245,181.7085404140109,1.663902842032447,0.7787126066580731,0.1413748746776677,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,6
