dataset,scenario,sensor,clamp_mode,plugin_P,trial,seed,num_taus,num_releases,num_deferrals,num_walkups,release_rate,walkup_rate,t_start_monotonic,t_start_spacing_mean,t_start_spacing_std,p_gate_violations,max_abs_diff_vs_offline,num_published
pune,hierarchy,pm10,static,2,4,4123,1794,1696,98,922,0.9453734671125976,0.5139353400222966,True,0.1115448968209704,0.3148057064510894,1392,,1794
pune,hierarchy,pm10,static,2,5,5123,1794,1678,116,913,0.935340022296544,0.5089186176142698,True,0.1115448968209704,0.3148057064510894,1383,,1794
traffic,pooled,speed,static,1,0,123,200,190,10,96,0.95,0.48,True,1.0,0.0,0,1192.848196520824,200
traffic,pooled,speed,static,1,1,1123,200,189,11,91,0.945,0.455,True,1.0,0.0,0,857.3126858626339,200
traffic,pooled,speed,static,1,2,2123,200,191,9,87,0.955,0.435,True,1.0,0.0,0,3900.7476113101816,200
traffic,pooled,speed,static,1,3,3123,200,198,2,84,0.99,0.42,True,1.0,0.0,0,1023.5657511498652,200
traffic,pooled,speed,static,1,4,4123,200,190,10,87,0.95,0.435,True,1.0,0.0,0,2098.2227306824134,200
traffic,pooled,speed,static,1,5,5123,200,190,10,78,0.95,0.39,True,1.0,0.0,0,1230.7173716320008,200
traffic,hierarchy,speed,static,2,0,123,1164,1099,65,577,0.9441580756013744,0.4957044673539519,True,0.1711092003439381,0.3766043572525365,934,,1164
traffic,hierarchy,speed,static,2,1,1123,1164,1093,71,593,0.9390034364261168,0.5094501718213058,True,0.1711092003439381,0.3766043572525365,911,,1164
traffic,hierarchy,speed,static,2,2,2123,1164,1081,83,623,0.9286941580756014,0.5352233676975945,True,0.1711092003439381,0.3766043572525365,908,,1164
traffic,hierarchy,speed,static,2,3,3123,1164,1095,69,584,0.940721649484536,0.5017182130584192,True,0.1711092003439381,0.3766043572525365,925,,1164
traffic,hierarchy,speed,static,2,4,4123,1164,1091,73,595,0.9372852233676976,0.511168384879725,True,0.1711092003439381,0.3766043572525365,919,,1164
traffic,hierarchy,speed,static,2,5,5123,1164,1083,81,574,0.9304123711340206,0.493127147766323,True,0.1711092003439381,0.3766043572525365,918,,1164
wearable,pooled,heart_rate,static,1,0,123,119,112,7,45,0.9411764705882352,0.3781512605042016,True,1.0,0.0,0,10322.190041058644,119
wearable,pooled,heart_rate,static,1,1,1123,119,108,11,48,0.907563025210084,0.4033613445378151,True,1.0,0.0,0,5337.662988085709,119
wearable,pooled,heart_rate,static,1,2,2123,119,114,5,46,0.957983193277311,0.3865546218487395,True,1.0,0.0,0,3367.601196895097,119
wearable,pooled,heart_rate,static,1,3,3123,119,116,3,48,0.9747899159663864,0.4033613445378151,True,1.0,0.0,0,5108.007680209049,119
wearable,pooled,heart_rate,static,1,4,4123,119,113,6,52,0.9495798319327732,0.4369747899159664,True,1.0,0.0,0,4776.281284082831,119
wearable,pooled,heart_rate,static,1,5,5123,119,108,11,45,0.907563025210084,0.3781512605042016,True,1.0,0.0,0,5755.497522061851,119
wearable,hierarchy,heart_rate,static,2,0,123,1190,1125,65,595,0.9453781512605042,0.5,True,0.1000841042893187,0.3001121063168288,1009,,1190
wearable,hierarchy,heart_rate,static,2,1,1123,1190,1117,73,610,0.938655462184874,0.5126050420168067,True,0.1000841042893187,0.3001121063168288,990,,1190
wearable,hierarchy,heart_rate,static,2,2,2123,1190,1108,82,639,0.93109243697479,0.5369747899159664,True,0.1001683501683501,0.3002243357772666,979,,1189
wearable,hierarchy,heart_rate,static,2,3,3123,1190,1119,71,596,0.9403361344537816,0.5008403361344538,True,0.1000841042893187,0.3001121063168288,998,,1190
wearable,hierarchy,heart_rate,static,2,4,4123,1190,1112,78,614,0.934453781512605,0.5159663865546219,True,0.1000841042893187,0.3001121063168288,991,,1190
wearable,hierarchy,heart_rate,static,2,5,5123,1190,1111,79,589,0.9336134453781512,0.4949579831932773,True,0.1001683501683501,0.3002243357772666,993,,1189
