dataset,sensor,clamp_mode,subscription_level,scope,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,eps_count_spent_mean,eps_count_spent_std,n_trials
energy,current,static,1,energy,0.8433446129782011,0.0116823419636384,84.33446129782011,1.1682341963638427,0.4870295218650384,0.1720451723291018,0.5029488646406013,0.0030502196545225,0.0636378497716677,0.0002903230847717,5.673708592638072,0.0,1791.6499999989182,0.0,6
energy,current,static,2,energy/building01,0.8433446129782011,0.0116823419636384,84.33446129782011,1.1682341963638427,0.4870295218650384,0.1720451723291018,0.5029488646406013,0.0030502196545225,0.0636378497716677,0.0002903230847717,5.673708592638072,0.0,1791.6499999989182,0.0,6
energy,current,static,3,energy/building01/CT1,0.8489701044125999,0.0157166102597131,84.89701044125998,1.5716610259713109,0.4732687508867141,0.1223182957256829,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,3,energy/building01/CT10,0.832430854728771,0.0257116374171522,83.2430854728771,2.571163741715227,0.5465206428256488,0.1230300140952128,0.3836477987421383,0.0052165796390847,0.0634195880630265,0.0007487580924618,0.1314500156364015,0.0,479.6500000000749,0.0,6
energy,current,static,3,energy/building01/CT13,0.8342461978783171,0.0248716893662475,83.42461978783172,2.48716893662475,0.5448853517527894,0.1026401753255577,0.3829006872485133,0.0049203484629212,0.0634852584941349,0.00068679121596,0.0714667236406366,0.0,468.0500000000722,0.0,6
energy,current,static,3,energy/building01/CT17,0.8496841224182067,0.0209006566378023,84.96841224182067,2.090065663780239,0.5014385940411502,0.0966344184466029,0.3927184563690871,0.0026868198858082,0.0638559266247846,0.0006161446417299,0.6793625882779019,0.0,828.3499999997944,0.0,6
energy,current,static,3,energy/building01/CT2,0.8481547126009824,0.0199938210359678,84.81547126009824,1.9993821035967816,0.4369851816533812,0.0581088275982399,0.3960419194983819,0.0026382568496469,0.0640266372922156,0.0007120691759517,0.8814472087378641,0.0,1318.399999999349,0.0,6
energy,current,static,3,energy/building01/CT3,0.8455565632821548,0.0186184044936408,84.55565632821548,1.8618404493640932,0.4858280052976763,0.1835473084088037,0.3949348607367475,0.0028204032127504,0.0639234321755103,0.0006287798332876,0.8330525606469003,0.0,1187.199999999468,0.0,6
energy,current,static,3,energy/building01/CT4,0.8477627902667061,0.0328572017202669,84.7762790266706,3.285720172026698,0.5448439763495876,0.1856468342945281,0.3871805613741098,0.0045843151083737,0.0638022278843686,0.0007380741064721,0.345370758273984,0.0,596.750000000005,0.0,6
energy,current,static,3,energy/building01/CT5,0.8371696922548867,0.0293924303992321,83.71696922548867,2.93924303992321,0.5733426066455314,0.2011582230109076,0.3839011896336737,0.0046376702539422,0.0635707806549244,0.0007877546221634,0.1289050652107977,0.0,494.55000000007817,0.0,6
energy,current,static,3,energy/building01/CT6,0.8486751362491715,0.0157463654813827,84.86751362491714,1.574636548138277,0.5034562288743963,0.1622787292927401,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,3,energy/building01/CT7,0.8486401130853798,0.0157462129089238,84.86401130853797,1.5746212908923864,0.5033750113930313,0.1655354126685062,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,3,energy/building01/CT8,0.8488429668058438,0.0159451942978613,84.88429668058438,1.5945194297861425,0.5031637150633242,0.165809814901289,0.3981735687657139,0.0033621616176739,0.0638872811928305,0.0006530685394367,0.986850851082276,0.0,1730.1499999989744,0.0,6
energy,current,static,3,energy/building01/CT9,0.8333416726282739,0.0225095964023414,83.33416726282739,2.250959640234146,0.5760083716019792,0.152139867748298,0.3819892767261188,0.0050774248971251,0.0634596598183703,0.0006242312602523,0.021118284276179,0.0,456.9500000000696,0.0,6
energy,current,static,4,energy/building01/CT1/current,0.8489701044125999,0.0157166102597131,84.89701044125998,1.5716610259713109,0.4732687508867141,0.1223182957256829,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,4,energy/building01/CT10/current,0.832430854728771,0.0257116374171522,83.2430854728771,2.571163741715227,0.5465206428256488,0.1230300140952128,0.3836477987421383,0.0052165796390847,0.0634195880630265,0.0007487580924618,0.1314500156364015,0.0,479.6500000000749,0.0,6
energy,current,static,4,energy/building01/CT13/current,0.8342461978783171,0.0248716893662475,83.42461978783172,2.48716893662475,0.5448853517527894,0.1026401753255577,0.3829006872485133,0.0049203484629212,0.0634852584941349,0.00068679121596,0.0714667236406366,0.0,468.0500000000722,0.0,6
energy,current,static,4,energy/building01/CT17/current,0.8496841224182067,0.0209006566378023,84.96841224182067,2.090065663780239,0.5014385940411502,0.0966344184466029,0.3927184563690871,0.0026868198858082,0.0638559266247846,0.0006161446417299,0.6793625882779019,0.0,828.3499999997944,0.0,6
energy,current,static,4,energy/building01/CT2/current,0.8481547126009824,0.0199938210359678,84.81547126009824,1.9993821035967816,0.4369851816533812,0.0581088275982399,0.3960419194983819,0.0026382568496469,0.0640266372922156,0.0007120691759517,0.8814472087378641,0.0,1318.399999999349,0.0,6
energy,current,static,4,energy/building01/CT3/current,0.8455565632821548,0.0186184044936408,84.55565632821548,1.8618404493640932,0.4858280052976763,0.1835473084088037,0.3949348607367475,0.0028204032127504,0.0639234321755103,0.0006287798332876,0.8330525606469003,0.0,1187.199999999468,0.0,6
energy,current,static,4,energy/building01/CT4/current,0.8477627902667061,0.0328572017202669,84.7762790266706,3.285720172026698,0.5448439763495876,0.1856468342945281,0.3871805613741098,0.0045843151083737,0.0638022278843686,0.0007380741064721,0.345370758273984,0.0,596.750000000005,0.0,6
energy,current,static,4,energy/building01/CT5/current,0.8371696922548867,0.0293924303992321,83.71696922548867,2.93924303992321,0.5733426066455314,0.2011582230109076,0.3839011896336737,0.0046376702539422,0.0635707806549244,0.0007877546221634,0.1289050652107977,0.0,494.55000000007817,0.0,6
energy,current,static,4,energy/building01/CT6/current,0.8486751362491715,0.0157463654813827,84.86751362491714,1.574636548138277,0.5034562288743963,0.1622787292927401,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,4,energy/building01/CT7/current,0.8486401130853798,0.0157462129089238,84.86401130853797,1.5746212908923864,0.5033750113930313,0.1655354126685062,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,current,static,4,energy/building01/CT8/current,0.8488429668058438,0.0159451942978613,84.88429668058438,1.5945194297861425,0.5031637150633242,0.165809814901289,0.3981735687657139,0.0033621616176739,0.0638872811928305,0.0006530685394367,0.986850851082276,0.0,1730.1499999989744,0.0,6
energy,current,static,4,energy/building01/CT9/current,0.8333416726282739,0.0225095964023414,83.33416726282739,2.250959640234146,0.5760083716019792,0.152139867748298,0.3819892767261188,0.0050774248971251,0.0634596598183703,0.0006242312602523,0.021118284276179,0.0,456.9500000000696,0.0,6
energy,power_kw,static,1,energy,0.8300189754494146,0.0034027560150881,41.500948772470736,0.1701378007544055,0.4516412960997412,0.1521037350855038,0.5544888789663159,0.0029839087368838,0.0626007464971627,0.0001998276619421,7.861105684704044,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,2,energy/building01,0.8300189754494146,0.0034027560150881,41.500948772470736,0.1701378007544055,0.4516412960997412,0.1521037350855038,0.5544888789663159,0.0029839087368838,0.0626007464971627,0.0001998276619421,7.861105684704044,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,3,energy/building01/CT1,0.8486896977659205,0.0157856972967505,42.434484888296026,0.7892848648375262,0.5044374797104443,0.1668384526715171,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,3,energy/building01/CT10,0.848638139923105,0.0157954722707762,42.431906996155256,0.7897736135388124,0.503888744577623,0.1665266474623553,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,3,energy/building01/CT13,0.8337874505919278,0.0257054385029205,41.68937252959639,1.2852719251460285,0.5442712846524197,0.1099397494101057,0.3828597877946307,0.0050294528307787,0.0634660207258185,0.0007576141251616,0.0717795342875454,0.0,468.10000000007216,0.0,6
energy,power_kw,static,3,energy/building01/CT17,0.8487019088425117,0.0157625406707382,42.43509544212559,0.7881270335369156,0.5059093525529816,0.1696894319039164,0.39839621939421,0.0033856766707067,0.063899408783797,0.000616782751834,0.9987162313016298,0.0,1791.5999999989183,0.0,6
energy,power_kw,static,3,energy/building01/CT2,0.8489413444839201,0.0164469643391639,42.44706722419601,0.8223482169582006,0.5036704528832041,0.1653641211256904,0.3983428576790624,0.0033778428280795,0.063893511519396,0.0006554753649472,0.997916842609014,0.0,1776.1499999989326,0.0,6
energy,power_kw,static,3,energy/building01/CT3,0.8495649626795885,0.0175836449868893,42.47824813397943,0.8791822493444669,0.49773119344935,0.167922161713369,0.3969843256451517,0.0034612529663579,0.0640437509479762,0.0006132541124248,0.9325227963525836,0.0,1398.249999999276,0.0,6
energy,power_kw,static,3,energy/building01/CT4,0.8475415628227424,0.0328751987881525,42.377078141137126,1.643759939407626,0.545739044424625,0.1871827245339218,0.3871805613741098,0.0045843151083737,0.063802038414266,0.0007381599435365,0.3454545454545454,0.0,596.750000000005,0.0,6
energy,power_kw,static,3,energy/building01/CT5,0.8392914475003513,0.0231794482927765,41.96457237501757,1.1589724146388298,0.4963829777469145,0.0925143234041744,0.3848951647411211,0.0047239030301763,0.0636884582733475,0.0006929346974325,0.1641157302261281,0.0,506.35000000008085,0.0,6
energy,power_kw,static,3,energy/building01/CT6,0.8486380818474006,0.0157936249958928,42.43190409237003,0.7896812497946405,0.504815969321168,0.1662514241952537,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,3,energy/building01/CT7,0.8486323909727265,0.015794138324696,42.43161954863633,0.789706916234804,0.5040598387311382,0.1664467634864958,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,3,energy/building01/CT8,0.8488460260121561,0.0158952581872174,42.44230130060781,0.7947629093608742,0.5034303843249103,0.1661191854852822,0.3982069948386103,0.0034080774334668,0.0638912474949244,0.00064835926043,0.9869713427316849,0.0,1730.7999999989736,0.0,6
energy,power_kw,static,3,energy/building01/CT9,0.8334429254704075,0.0197057969027897,41.672146273520376,0.9852898451394858,0.5864512055759264,0.149153497194448,0.3828633022335312,0.0052364233455876,0.0635550215830243,0.000707394414997,0.0640373197625106,0.0,471.60000000007295,0.0,6
energy,power_kw,static,4,energy/building01/CT1/power_kw,0.8486896977659205,0.0157856972967505,42.434484888296026,0.7892848648375262,0.5044374797104443,0.1668384526715171,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,4,energy/building01/CT10/power_kw,0.848638139923105,0.0157954722707762,42.431906996155256,0.7897736135388124,0.503888744577623,0.1665266474623553,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,4,energy/building01/CT13/power_kw,0.8337874505919278,0.0257054385029205,41.68937252959639,1.2852719251460285,0.5442712846524197,0.1099397494101057,0.3828597877946307,0.0050294528307787,0.0634660207258185,0.0007576141251616,0.0717795342875454,0.0,468.10000000007216,0.0,6
energy,power_kw,static,4,energy/building01/CT17/power_kw,0.8487019088425117,0.0157625406707382,42.43509544212559,0.7881270335369156,0.5059093525529816,0.1696894319039164,0.39839621939421,0.0033856766707067,0.063899408783797,0.000616782751834,0.9987162313016298,0.0,1791.5999999989183,0.0,6
energy,power_kw,static,4,energy/building01/CT2/power_kw,0.8489413444839201,0.0164469643391639,42.44706722419601,0.8223482169582006,0.5036704528832041,0.1653641211256904,0.3983428576790624,0.0033778428280795,0.063893511519396,0.0006554753649472,0.997916842609014,0.0,1776.1499999989326,0.0,6
energy,power_kw,static,4,energy/building01/CT3/power_kw,0.8495649626795885,0.0175836449868893,42.47824813397943,0.8791822493444669,0.49773119344935,0.167922161713369,0.3969843256451517,0.0034612529663579,0.0640437509479762,0.0006132541124248,0.9325227963525836,0.0,1398.249999999276,0.0,6
energy,power_kw,static,4,energy/building01/CT4/power_kw,0.8475415628227424,0.0328751987881525,42.377078141137126,1.643759939407626,0.545739044424625,0.1871827245339218,0.3871805613741098,0.0045843151083737,0.063802038414266,0.0007381599435365,0.3454545454545454,0.0,596.750000000005,0.0,6
energy,power_kw,static,4,energy/building01/CT5/power_kw,0.8392914475003513,0.0231794482927765,41.96457237501757,1.1589724146388298,0.4963829777469145,0.0925143234041744,0.3848951647411211,0.0047239030301763,0.0636884582733475,0.0006929346974325,0.1641157302261281,0.0,506.35000000008085,0.0,6
energy,power_kw,static,4,energy/building01/CT6/power_kw,0.8486380818474006,0.0157936249958928,42.43190409237003,0.7896812497946405,0.504815969321168,0.1662514241952537,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,4,energy/building01/CT7/power_kw,0.8486323909727265,0.015794138324696,42.43161954863633,0.789706916234804,0.5040598387311382,0.1664467634864958,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,power_kw,static,4,energy/building01/CT8/power_kw,0.8488460260121561,0.0158952581872174,42.44230130060781,0.7947629093608742,0.5034303843249103,0.1661191854852822,0.3982069948386103,0.0034080774334668,0.0638912474949244,0.00064835926043,0.9869713427316849,0.0,1730.7999999989736,0.0,6
energy,power_kw,static,4,energy/building01/CT9/power_kw,0.8334429254704075,0.0197057969027897,41.672146273520376,0.9852898451394858,0.5864512055759264,0.149153497194448,0.3828633022335312,0.0052364233455876,0.0635550215830243,0.000707394414997,0.0640373197625106,0.0,471.60000000007295,0.0,6
energy,voltage,static,1,energy,0.769837288614409,0.0060015495159494,61.58698308915272,0.4801239612759571,0.4177584413069451,0.1479242263225109,0.6385919869022038,0.003420369299433,0.0580603941316194,0.0004510732783681,11.984595205536795,0.0,1791.6499999989182,0.0,6
energy,voltage,static,2,energy/building01,0.769837288614409,0.0060015495159494,61.58698308915272,0.4801239612759571,0.4177584413069451,0.1479242263225109,0.6385919869022038,0.003420369299433,0.0580603941316194,0.0004510732783681,11.984595205536795,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT1,0.8497522065774296,0.0157369083118709,67.98017652619437,1.2589526649496845,0.4909413451063448,0.1574297798739762,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT10,0.8497443774665295,0.0157475640834853,67.97955019732237,1.2598051266788275,0.491850567689913,0.157916637252737,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT13,0.8497413356564474,0.0157414690937624,67.97930685251579,1.2593175275009916,0.4917118066732309,0.1576387641595546,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT17,0.8497328911519234,0.0157418447248795,67.97863129215388,1.2593475779903631,0.4912659298556836,0.157300317099077,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT2,0.8497527548794491,0.0157345229414628,67.98022039035592,1.2587618353170278,0.4911739446538339,0.1576630435429325,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT3,0.8497565569440173,0.0157373419153776,67.98052455552138,1.2589873532302078,0.491138837728512,0.1576270714422637,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT4,0.849755862068842,0.0157387714182222,67.98046896550737,1.259101713457782,0.4912248829046899,0.1576512900220694,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT5,0.849741261363882,0.0157439826509785,67.97930090911056,1.2595186120782802,0.4914412440960967,0.1576778148283263,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT6,0.8497389323039136,0.0157447564314518,67.9791145843131,1.2595805145161427,0.4914906039511869,0.1577081920970039,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT7,0.849738820263599,0.015745738089863,67.97910562108791,1.2596590471890454,0.4915720709212582,0.1578569626874985,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT8,0.8497456096635285,0.0157506163122117,67.97964877308227,1.260049304976938,0.4917984935551556,0.1579439145050423,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,3,energy/building01/CT9,0.8497458795852464,0.0157485438866995,67.97967036681972,1.2598835109359607,0.4918322947393119,0.1579885389856165,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
energy,voltage,static,4,energy/building01/CT1/voltage,0.8497522065774296,0.0157369083118709,67.98017652619437,1.2589526649496845,0.4909413451063448,0.1574297798739762,0.3983851012567558,0.0034003185783266,0.0638978485485748,0.0006201418456373,0.9987162671280664,0.0,1791.6499999989182,0.0,6
