stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.996599012724528,399.8299506362264,0.9133475927544434,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.9962753209096284,399.81376604548143,0.994767534854662,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.904321448371657,395.2160724185828,0.8784012189073833,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,8.012328573997376,400.6164286998688,0.7963050943094515,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.02494006637593,401.2470033187965,0.92462707325337,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.03921692855915,401.9608464279575,0.7838638518749056,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,8.039762985716838,401.9881492858418,0.7600844109460863,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT3,energy,power_kw,static,3,energy/building01/CT3,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.963518854967586,398.1759427483793,0.7537710547473967,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.335914934772758,366.7957467386379,0.6833007539011422,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.425575036358715,371.27875181793576,1.022356465479532,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,7.53357396955867,376.6786984779335,0.8497684870149705,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.159348689589264,407.9674344794632,0.8064177537292108,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.8100300092609185,390.50150046304594,0.9770757998193736,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT4,energy,power_kw,static,3,energy/building01/CT4,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.814539067335641,390.726953366782,0.8384449020288817,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.293834048933871,364.6917024466935,0.8932936716789476,0.1641157302261281,1.0,0.1641157302261281,0.0
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,8.308261178667902,415.4130589333951,0.8893069028811975,0.1641157302261281,1.0,0.1641157302261281,0.0
