dataset,clamp_mode,sensor,subscription_level,scope,P,epsilon,w,strategy,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,kl_divergence_mean,kl_divergence_std,kl_global_utility_mean,kl_global_utility_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,n_trials
mobility,static,emission,1,mobility,1,0.5,4,budget_absorption,0.7612433280873625,0.1335399845263173,608.99466246989,106.8319876210538,972.6750633456484,147.31985327054153,2.2408269552305966,0.3930937531886083,0.4710177200351695,0.1529073256511724,0.7739783135739927,0.0247440482579034,0.5334928229665071,0.0468557633391199,0.0813924462033766,0.0009763917170399,0.0,0.0,6
mobility,static,emission,1,mobility,1,0.5,8,budget_absorption,1.5629242856301735,0.2157696478132515,1250.3394285041388,172.6157182506013,2025.9890076990887,250.34614428779847,4.60068776829094,0.6351483488930607,0.5743291940035206,0.1278181417338798,0.8268949697418376,0.0652429806904673,0.5366826156299841,0.0393878046996105,0.0812416888661984,0.0005047754413081,0.0,0.0,6
mobility,static,emission,1,mobility,1,0.5,10,budget_absorption,2.0859608104675758,0.2293174277402075,1668.76864837406,183.4539421921659,2642.4249527560314,313.13175289748665,6.140319447389586,0.675028147275176,0.5739089704405677,0.2024264346345258,0.8530624704217452,0.0821316911057619,0.5518341307814992,0.042866825970864,0.0814478735704801,0.0008721653251867,0.0,0.0,6
mobility,static,emission,1,mobility,1,0.5,12,budget_absorption,2.5222218638051515,0.2156945168024648,2017.7774910441208,172.5556134419718,3090.50107040572,336.60070487225727,7.424515304044692,0.6349271901808152,0.5962428789183024,0.1967287832633552,0.8334023992873023,0.0923828017270092,0.5582137161084529,0.0582606701465052,0.0814656990600864,0.0005136750966635,0.0,0.0,6
mobility,static,emission,1,mobility,1,1.0,4,budget_absorption,0.3683500790950809,0.0452375929528334,294.6800632760648,36.19007436226678,486.9358981880052,59.79426999735092,1.0842903389004852,0.1331632264458092,0.417743489341925,0.096227993048677,0.773776483118873,0.0457526637063759,0.4457735247208931,0.0354734488689597,0.0818362956450554,0.0006096854035237,0.0,0.0,6
mobility,static,emission,1,mobility,1,1.0,8,budget_absorption,0.7970123527517455,0.1025656451144661,637.6098822013964,82.05251609157295,1029.1183723048855,127.19435071181454,2.346118117297844,0.3019164224802704,0.5011046734090051,0.2391674429032082,0.7618093341928608,0.1004259682938281,0.5087719298245614,0.046059103917683,0.0810006864514544,0.0004956054578576,0.0,0.0,6
mobility,static,emission,1,mobility,1,1.0,10,budget_absorption,0.90105216699641,0.0972464182890101,720.8417335971282,77.79713463120811,1132.1978330632862,78.24566607241333,2.652373964245475,0.286258529121237,0.4690650664945945,0.1717699573708662,0.8436676752189652,0.075467239878992,0.5047846889952153,0.0351275690774692,0.0814209722752059,0.000425512499497,0.0,0.0,6
mobility,static,emission,1,mobility,1,1.0,12,budget_absorption,1.1092960698549088,0.0992374242084249,887.4368558839273,79.38993936673997,1370.318948335241,101.00343664477172,3.265369222883976,0.2921193354726804,0.604056265516428,0.108438825511657,0.8200244848890984,0.1360013583824126,0.4872408293460925,0.0545048675209159,0.0818106509517301,0.0008310282395236,0.0,0.0,6
mobility,static,emission,1,mobility,1,2.0,4,budget_absorption,0.1841861703876155,0.0139610334892125,147.34893631009243,11.168826791370057,233.7933247153508,21.05765840410085,0.5421779346457514,0.041096268448233,0.390806011753108,0.1612557023068099,0.6860131732516591,0.0268308178756459,0.4393939393939394,0.0516583942797708,0.0815863535117731,0.0013580552671274,0.0,0.0,6
mobility,static,emission,1,mobility,1,2.0,8,budget_absorption,0.351856262778859,0.0781570608679628,281.4850102230872,62.5256486943703,443.5038798697869,91.63126823508982,1.0357384674655334,0.2300663168694865,0.3497913126846865,0.1245414986784899,0.8236594353544103,0.0656575255316923,0.4465709728867623,0.0626532445898659,0.0813809362023821,0.0009158514637197,0.0,0.0,6
mobility,static,emission,1,mobility,1,2.0,10,budget_absorption,0.4948030809680249,0.0916226197576462,395.84246477442,73.29809580611698,633.4034270292216,111.8174100810905,1.456522560467094,0.2697040860477862,0.4106497253579458,0.2398900742184641,0.7979772077865451,0.1179620342161418,0.4824561403508772,0.0629994145236394,0.0812351009125782,0.0005061089626448,0.0,0.0,6
mobility,static,emission,1,mobility,1,2.0,12,budget_absorption,0.5315796526609478,0.0745614225367286,425.2637221287582,59.64913802938288,692.5513451596922,71.05721959761571,1.5647795791230454,0.2194820490058402,0.4872697621213637,0.1988175958175789,0.7742961415084247,0.1052917859313087,0.4465709728867623,0.0531653375438613,0.0817007332895904,0.0007635115725427,0.0,0.0,6
mobility,static,emission,1,mobility,1,4.0,4,budget_absorption,0.0833372688936978,0.0089127480380465,66.66981511495825,7.1301984304372565,99.51705833064312,14.256042004018356,0.2453149888111295,0.0262359291857614,0.1950496292716134,0.0634662227005205,0.6518071228076091,0.0289779632638107,0.3149920255183413,0.0239074906928908,0.0818529106722465,0.0007531161612006,0.0,0.0,6
mobility,static,emission,1,mobility,1,4.0,8,budget_absorption,0.1631738252488049,0.0093256932063796,130.53906019904394,7.460554565103743,208.064843456668,16.423306577158247,0.4803251371992931,0.0274514914509282,0.4104661127343798,0.0887617154172625,0.7989720864791839,0.0572565301740039,0.39792663476874,0.0269674285563347,0.0816743157286938,0.0006184123717262,0.0,0.0,6
mobility,static,emission,1,mobility,1,4.0,10,budget_absorption,0.1996411209221369,0.0272384128556716,159.7128967377095,21.790730284537343,260.07875198362854,36.4917743222791,0.5876717583309115,0.0801801046953596,0.3536892254332991,0.1358161251359431,0.7821534284716553,0.111142037693574,0.3915470494417863,0.0514808226482397,0.081339837417301,0.0008997954106595,0.0,0.0,6
mobility,static,emission,1,mobility,1,4.0,12,budget_absorption,0.2674614794702002,0.0450591582911984,213.9691835761602,36.047326632958736,337.1460546183852,34.58537021298942,0.7873105360260024,0.1326379788872607,0.4189454546842113,0.1955591325851077,0.7717119709651398,0.0869165184445344,0.4385964912280702,0.0629448826806998,0.0808400598003742,0.0006886417714165,0.0,0.0,6
