dataset,clamp_mode,sensor,subscription_level,scope,P,epsilon,w,strategy,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,kl_divergence_mean,kl_divergence_std,kl_global_utility_mean,kl_global_utility_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,n_trials
manufacturing,static,temperature,1,factory,1,0.5,4,budget_absorption,0.9899884510904342,0.1170444947636455,197.9976902180869,23.40889895272912,306.3244671842721,25.58969212902528,2.640342124829536,0.3121627425688153,0.5686681247461782,0.1772728716389915,0.8560564214199342,0.0422075157822726,0.5103333333333333,0.0330191863416811,0.0999999999999999,1.642041997679149e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,0.5,8,budget_absorption,1.8641672591112768,0.1019599368775584,372.8334518222553,20.391987375511697,597.6460692937061,33.5386746204941,4.971814910101307,0.2719315726221394,0.521436731774886,0.1730778910421033,0.9454937711633284,0.0674336108698884,0.516,0.0300399733688297,0.0999999999999999,8.777083671441753e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,0.5,10,budget_absorption,2.365170437984928,0.222818324316976,473.0340875969856,44.56366486339522,805.5218592431693,93.12599832136242,6.308012111590448,0.5942661323271329,0.5029732896373885,0.1482359495321134,0.9524802417089718,0.0746815074909258,0.507,0.0490183639057853,0.0999999999999999,6.206335383118182e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,0.5,12,budget_absorption,2.854787873280475,0.2268242356722983,570.9575746560951,45.36484713445967,910.240596980523,70.733028498213,7.613843041272417,0.6049500716075759,0.562609754122418,0.1447675089971651,0.8358833580889252,0.0530075894761382,0.5066666666666667,0.0370657074216406,0.1,8.777083671441753e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,1.0,4,budget_absorption,0.4727891677332226,0.0422555194626764,94.55783354664452,8.451103892535286,147.3577146463242,11.342153842833945,1.2609492104217404,0.1126973026008232,0.6492097658617175,0.2179407254652971,0.8790756277216305,0.0335650916753402,0.4903333333333333,0.0336432261631768,0.0999999999999999,0.0,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,1.0,8,budget_absorption,0.9382877066552328,0.0977880954074293,187.65754133104653,19.55761908148587,303.40870303879115,31.767056884722734,2.502453997683253,0.2608050905307981,0.6042568337076345,0.1708819004735427,0.9560168903765228,0.0697140354447834,0.4903333333333333,0.0172703985671051,0.1,1.0749688212373146e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,1.0,10,budget_absorption,1.2349461677617997,0.0750683599043808,246.9892335523599,15.013671980876168,378.7841310313497,13.666652379249388,3.293654976527017,0.2002105708193713,0.5743490811106597,0.0767457749676879,0.9403157811693618,0.0927500468969626,0.5283333333333333,0.0218510106554975,0.0999999999999999,1.642041997679149e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,1.0,12,budget_absorption,1.5062423865582657,0.1159238611169238,301.24847731165306,23.184772223384773,487.0459264644424,47.648403129698366,4.01721375542619,0.309173964042478,0.4730992427552155,0.1436745177023936,0.8499894371586917,0.0654296437088479,0.527,0.0325637835639534,0.0999999999999999,1.0749688212373146e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,2.0,4,budget_absorption,0.2185067014113517,0.0134232600546096,43.70134028227034,2.684652010921935,71.83954293069421,5.488109500011203,0.5827668470864203,0.0358004165964659,0.5192598883867013,0.2457983082163327,0.8792165176262038,0.0253605653579452,0.4385,0.0259672871128271,0.1,0.0,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,2.0,8,budget_absorption,0.4425449524129746,0.0196632116353054,88.50899048259492,3.932642327061085,147.0741020945844,7.147649936684447,1.1802865767773696,0.0524426380256759,0.4456347897032364,0.1240333415174803,0.9587595730781362,0.0343851331998887,0.4659999999999999,0.0199399097289832,0.1,6.206335383118182e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,2.0,10,budget_absorption,0.5365579814603824,0.0244484886025805,107.31159629207646,4.889697720516116,173.3014581254182,14.55147674849708,1.4310234016396004,0.0652051791863897,0.502977873191943,0.1238634617736368,0.992716555719136,0.0599408480840378,0.469,0.010807404868885,0.1,1.2412670766236365e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,2.0,12,budget_absorption,0.6985924132940046,0.0370623882781914,139.71848265880092,7.4124776556383,219.82573232779453,13.39791909374437,1.8631762571319028,0.0988469965583044,0.5906111950526937,0.1095774467456699,0.9630319379120098,0.0726101325965479,0.4921666666666666,0.0178932016885371,0.1,6.206335383118182e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,4.0,4,budget_absorption,0.0822339402677656,0.0103309632160176,16.44678805355313,2.0661926432035336,28.209772957733986,3.81627691622848,0.2193214843471576,0.0275531268463495,0.378162692582387,0.122944949292415,0.9579655965160716,0.0248210813997555,0.3133333333333333,0.036740531660098,0.0999999999999999,6.206335383118182e-18,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,4.0,8,budget_absorption,0.2096731785690188,0.011179331808157,41.93463571380377,2.235866361631417,70.07966331555095,2.1220943004272663,0.5592074586455094,0.0298157626667379,0.4423868316337078,0.0861064574667697,0.969110177536578,0.0742544021995518,0.4386666666666667,0.018959606184377,0.0999999999999999,1.3877787807814457e-17,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,4.0,10,budget_absorption,0.2525922970222797,0.0276367680503029,50.518459404455946,5.527353610060582,81.49235707314308,6.689965171050452,0.6736746085277878,0.0737084587168502,0.5022046092772485,0.1446800226209412,0.8945522449772557,0.078805691165975,0.4433333333333333,0.0261890562385639,0.0999999999999999,0.0,0.0,0.0,6
manufacturing,static,temperature,1,factory,1,4.0,12,budget_absorption,0.3275671915297388,0.0261878714137296,65.51343830594776,5.237574282745928,110.06830566730169,8.574660884456275,0.8736359030809213,0.0698441885631384,0.5150128003137564,0.1996703348879196,0.8879277488371679,0.1334749041424212,0.4363333333333333,0.030891206947393,0.0999999999999999,8.777083671441753e-18,0.0,0.0,6
manufacturing,static,temperature,2,factory/line1,1,0.5,4,budget_absorption,0.968640830040524,0.1474573419509526,193.72816600810484,29.49146839019052,304.63916490456126,45.205715939312704,2.5834070938593343,0.3932751247144881,0.5869795320166941,0.1613873796485542,0.8484936732446458,0.0328484815908037,0.506,0.0443801757544964,0.1,8.777083671441753e-18,0.0,0.0,6
manufacturing,static,temperature,2,factory/line1,1,0.5,8,budget_absorption,1.9989182667769372,0.1698538983760675,399.7836533553875,33.970779675213514,661.6758926070582,44.690772179424286,5.331201690331909,0.453007711812063,0.5665127763827754,0.2106575403271794,0.8976959755865711,0.1050960534707805,0.5363333333333333,0.0174088100301734,0.0999999999999999,1.3877787807814457e-17,0.0,0.0,6
