dataset,clamp_mode,sensor,subscription_level,scope,P,epsilon,w,strategy,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,kl_divergence_mean,kl_divergence_std,kl_global_utility_mean,kl_global_utility_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,n_trials
energy,static,power_kw,1,energy,1,0.5,4,budget_absorption,1.227863379869104,0.0278291820070918,61.39316899345521,1.3914591003545929,97.08551160295852,1.717659103827778,356.67671587474456,8.083978565130097,0.5494968315517589,0.165644225493508,0.8590664343598821,0.0045708726970596,0.5188951872846504,0.008990986237578,0.1250357217259774,0.0001167229215393,0.0,0.0,6
energy,static,power_kw,1,energy,1,0.5,8,budget_absorption,2.4051256049566176,0.0511324824364106,120.25628024783089,2.556624121820535,194.45531181889237,5.14785053158429,698.6545214286263,14.853253390361893,0.5770054837878543,0.1113196287582268,0.945424579601392,0.0116994344019675,0.5104108776999741,0.0070413624372835,0.1249143798587522,0.0002261159031659,0.0,0.0,6
energy,static,power_kw,1,energy,1,0.5,10,budget_absorption,3.025854350965704,0.0367526684285547,151.2927175482852,1.8376334214277417,243.27797793813605,4.222162824587976,878.9673267499902,10.67612349195382,0.4625897463683407,0.0746462613639944,0.8949500042765989,0.0207150356789185,0.5208958541736134,0.0048083624311044,0.1248441120877423,0.000110690545327,0.0,0.0,6
energy,static,power_kw,1,energy,1,0.5,12,budget_absorption,3.5939597985640237,0.0782797702967859,179.69798992820117,3.913988514839289,288.8607072312716,6.941178894297869,1043.993818004678,22.73915147779995,0.526058592967903,0.0827647055814725,0.8680447993496848,0.0109355714929659,0.5162832055129488,0.0067605131971064,0.1249874696791226,0.0001653444790466,0.0,0.0,6
energy,static,power_kw,1,energy,1,1.0,4,budget_absorption,0.5900279050736521,0.0166292023331112,29.50139525368261,0.8314601166555631,47.094014537945206,0.8061613234948577,170.68979358350893,4.810679442937279,0.4812497754826011,0.061359808580854,0.8725416847728561,0.0065088452757919,0.4969308035714285,0.0123709356569106,0.125048479093263,0.0001137499630894,0.0,0.0,6
energy,static,power_kw,1,energy,1,1.0,8,budget_absorption,1.1865271512158937,0.0164219587838054,59.32635756079467,0.8210979391902695,95.33339281095296,1.4877656334646068,343.25168823496324,4.750725738462721,0.5440698981338515,0.1216423874335943,0.9446496534152574,0.0120002387723614,0.5100446428571429,0.0013336936827044,0.1249953923150721,0.000113590075726,0.0,0.0,6
energy,static,power_kw,1,energy,1,1.0,10,budget_absorption,1.533595303962743,0.0225484042396398,76.67976519813716,1.1274202119819912,122.10813510728872,1.7734202273643178,443.655399385497,6.523051591638195,0.6002477068465247,0.1231340486316207,0.912740638500082,0.0102168509276031,0.5184151785714285,0.0062164276891383,0.1249467041085565,0.0001801464876805,0.0,0.0,6
energy,static,power_kw,1,energy,1,1.0,12,budget_absorption,1.8230483807051685,0.0259057894896757,91.15241903525845,1.295289474483787,146.02140402458065,1.973517639915272,527.3915845666179,7.494313103816053,0.5153012809000145,0.11803034174211,0.8645578902984844,0.0191228298295376,0.5191778273809523,0.0065449445802761,0.1249256841760851,0.0001102602503207,0.0,0.0,6
energy,static,power_kw,1,energy,1,2.0,4,budget_absorption,0.2775042322003402,0.0071170478526483,13.87521161001701,0.3558523926324166,22.658361103231613,0.4792952478667435,80.61100266147814,2.067400409870213,0.4973290303529401,0.1441583589887878,0.8895597882709646,0.0045977017542871,0.4540031862472676,0.0097467916904842,0.125062974577125,0.0001866466379121,0.0,0.0,6
energy,static,power_kw,1,energy,1,2.0,8,budget_absorption,0.5749883799113003,0.0131384819087973,28.74941899556501,0.6569240954398651,46.90972864709031,1.1694383586075754,167.025884455293,3.8165407126232,0.5153369936892329,0.1229038950982771,0.9692298753560524,0.0101086070265836,0.4874587825571486,0.0071362543510076,0.1249803690702732,0.0001468196207478,0.0,0.0,6
