,AgeCount,Class,DirectionX,DirectionY,DistanceToBack,DistanceToFront,HeadingDeg_DERIVED,Length,ObjectId,PositionX,PositionY,PredictionCount,Speed,SpeedX,SpeedY,StaticCount,Time,TimeElapsed,TrackQuality,Width
1,300,Car,-0.435781,0.900053,0.120639,1.059431,-177.56499,5.528621,2835,-151.52837,1.0651754,1,17.877638,-17.861496,-0.7595522,6000,2024-12-20 12:49:27.300,93.5,63.69886,2.5
5,307,Car,-0.435781,0.900053,0.120639,1.059431,-177.56499,5.528621,2835,-157.77985,0.7993108,8,17.877638,-17.861496,-0.7595522,6000,2024-12-20 12:49:27.600,93.8,63.119183,2.5
8,313,Car,-0.435781,0.900053,0.120639,1.059431,-177.56499,5.528621,2835,-163.13828,0.5714258,14,17.877638,-17.861496,-0.7595522,6000,2024-12-20 12:49:27.900,94.1,61.23971,2.5
15,321,Car,-0.435781,0.900053,0.120639,1.059431,-177.56499,5.528621,2835,-170.28282,0.26757935,22,17.877638,-17.861496,-0.7595522,6000,2024-12-20 12:49:28.300,94.5,58.563797,2.5
17,328,Car,-0.434038,0.900894,0.120639,1.059431,-177.67589,5.528621,2835,-177.08699,0.027050318,2,18.277313,-18.262278,-0.74118805,6000,2024-12-20 12:49:28.600,94.8,52.63505,2.5
24,336,Car,-0.423063,0.9061,0.120639,1.059431,-178.37186,5.528621,2835,-184.91455,0.07753079,7,18.590607,-18.583101,-0.52820927,6000,2024-12-20 12:49:29.000,95.2,54.53862,2.5
2,90,Car,-0.915631,-0.402021,-1.303741,-0.18754,-89.695435,1.901752,2842,-13.446276,-17.87058,0,9.487127,0.050430164,-9.486994,6000,2024-12-20 12:49:27.300,93.5,79.523605,2.5
6,97,Car,-0.914071,-0.405553,-0.996839,-0.319518,-89.4742,1.901752,2842,-13.400788,-21.062845,0,9.389462,0.08616525,-9.389068,6000,2024-12-20 12:49:27.600,93.8,77.223694,2.5
7,103,Car,-0.910926,-0.412569,-0.968811,-0.315555,-89.033676,1.901752,2842,-13.265775,-23.682047,0,9.2552,0.15608701,-9.253883,6000,2024-12-20 12:49:27.900,94.1,77.84855,2.5
16,111,Car,-0.913624,-0.40656,-0.633376,-0.255479,-89.41107,1.901752,2842,-13.295161,-27.630285,0,9.429815,0.09692515,-9.429317,6000,2024-12-20 12:49:28.300,94.5,79.28768,2.5
19,118,Car,-0.915731,-0.401791,-0.670793,-0.324966,-89.70982,1.901752,2842,-13.338497,-30.791502,5,9.340186,0.04730406,-9.340066,6000,2024-12-20 12:49:28.600,94.8,79.564384,2.5
25,126,Car,-0.905608,-0.424115,-0.614527,-0.381242,-88.30535,1.901752,2842,-12.996066,-34.639103,0,9.412071,0.27834198,-9.407954,6000,2024-12-20 12:49:29.000,95.2,77.863754,2.5
