sensor,mode,eps_clip,a,b,R,publisher
traffic_speed,static,0.0,0.0,120.0,120.0,*
vehicle_count,static,0.0,0.0,500.0,500.0,*
road_occupancy,static,0.0,0.0,100.0,100.0,*
emission,static,0.0,0.0,800.0,800.0,*
