dataset,sensor,clamp_mode,scope,module,module_idx,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,power_kw,static,leaf,M1_pgate,1,0.2574712382160845,0.0038028748510221,12.873561910804224,0.1901437425511054,0.199927992173078,0.1042146598364544,0.4711129637348896,0.0032598230196576,0.9944977073780742,0.0,6
energy,power_kw,static,leaf,M2_interval_ext,2,0.2546958809705151,0.0085552775076652,12.734794048525758,0.4277638753832652,0.3245784892213683,0.2071727954445257,0.4733685331851234,0.0061948557641831,0.9955537029317773,0.0,6
energy,power_kw,static,leaf,M3_walk_up,3,0.2566986230556671,0.0041421278402293,12.83493115278336,0.2071063920114648,0.1782976543040547,0.0914383400244549,0.5134503903451227,0.0033003857827629,7.863300114451609,0.0,6
energy,power_kw,static,pooled,M1_pgate,1,0.2569776024761729,0.0039584375555679,12.848880123808645,0.1979218777783986,0.2233930368385365,0.0858938202603467,0.5131026816729193,0.0033071436094176,7.827900514103098,0.0,6
energy,power_kw,static,pooled,M2_interval_ext,2,0.2566986230556671,0.0041421278402293,12.83493115278336,0.2071063920114648,0.1782976543040547,0.0914383400244549,0.5134503903451227,0.0033003857827629,7.863300114451609,0.0,6
energy,power_kw,static,pooled,M3_walk_up,3,0.2566986230556671,0.0041421278402293,12.83493115278336,0.2071063920114648,0.1782976543040547,0.0914383400244549,0.5134503903451227,0.0033003857827629,7.863300114451609,0.0,6
manufacturing,temperature,static,leaf,M1_pgate,1,0.4698602243231877,0.0285299344975283,93.97204486463755,5.705986899505679,0.9621792000831608,1.1551410547729155,0.4768333333333333,0.0112679486450137,1.0,0.0,6
manufacturing,temperature,static,leaf,M2_interval_ext,2,0.4698602243231877,0.0285299344975283,93.97204486463755,5.705986899505679,0.9621792000831608,1.1551410547729155,0.4768333333333333,0.0112679486450137,1.0,0.0,6
manufacturing,temperature,static,leaf,M3_walk_up,3,0.4340586476804471,0.0296965145565378,86.81172953608943,5.939302911307565,1.0413924114322983,0.954837216362554,0.5246666666666667,0.0110211917080988,10.0,0.0,6
manufacturing,temperature,static,pooled,M1_pgate,1,0.4340586476804471,0.0296965145565378,86.81172953608943,5.939302911307565,1.0413924114322983,0.954837216362554,0.5246666666666667,0.0110211917080988,10.0,0.0,6
