dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,normalized_mae_mean,normalized_mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,1,energy,0.6666666666666666,4,1.497612716698472,0.0086289965519888,0.5912650013353458,0.1930414062751081,0.9510600098605568,0.001293965190882,5.673708592638072,0.0,6
energy,current,static,2,energy/building01,0.6666666666666666,4,1.497612716698472,0.0086289965519888,0.5912650013353458,0.1930414062751081,0.9510600098605568,0.001293965190882,5.673708592638072,0.0,6
energy,current,static,3,energy/building01/CT1,0.6666666666666666,4,7.971356665623016,0.0359954505130043,0.8267882439735906,0.0990433392612603,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,3,energy/building01/CT10,0.6666666666666666,4,8.394623286274237,0.6095396676193535,0.8191122146566595,0.051060392560354,0.0811008026686125,0.0010234911046499,0.1314500156364015,0.0,6
energy,current,static,3,energy/building01/CT13,0.6666666666666666,4,8.19492129577304,0.8207140506885926,0.8219731629212063,0.1766039873166791,0.0432468041163693,0.0011999138585973,0.0714667236406366,0.0,6
energy,current,static,3,energy/building01/CT17,0.6666666666666666,4,8.049843609657588,0.2399405503823781,0.933369364991508,0.0775711438312625,0.4144886420796362,0.0022254837929996,0.6793625882779019,0.0,6
energy,current,static,3,energy/building01/CT2,0.6666666666666666,4,7.9081687602366175,0.1197465692601776,0.8004272266524284,0.0778827550254428,0.5381649474110032,0.0032255817987927,0.8814472087378641,0.0,6
energy,current,static,3,energy/building01/CT3,0.6666666666666666,4,8.046335817415931,0.13386483507953,0.8613901840581627,0.1309432883320594,0.5080020215633423,0.0032378338066686,0.8330525606469003,0.0,6
energy,current,static,3,energy/building01/CT4,0.6666666666666666,4,8.143645771127836,0.3552178322607181,0.9781293519514036,0.0622207325613326,0.2090350509705348,0.0016634797712673,0.345370758273984,0.0,6
energy,current,static,3,energy/building01/CT5,0.6666666666666666,4,7.929687349281461,0.2808768553190783,0.7986738869527459,0.1251561705366521,0.0776126444916253,0.0010539207879966,0.1289050652107977,0.0,6
energy,current,static,3,energy/building01/CT6,0.6666666666666666,4,7.9714109237570705,0.0359388302324191,0.8274240539917255,0.0991699526104988,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,3,energy/building01/CT7,0.6666666666666666,4,7.971423888570533,0.0359375872313481,0.8272895852148525,0.0987832890784892,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,3,energy/building01/CT8,0.6666666666666666,4,7.978887988460438,0.0608638710170254,0.8266849427261346,0.0988566971013747,0.6022888188885357,0.0027713742257259,0.986850851082276,0.0,6
energy,current,static,3,energy/building01/CT9,0.6666666666666666,4,7.378563772110873,3.335789717152532,0.9348963814366624,0.2181657909047487,0.0123281175912754,0.0002558365673377,0.021118284276179,0.0,6
energy,current,static,4,energy/building01/CT1/current,0.6666666666666666,4,7.971356665623016,0.0359954505130043,0.8267882439735906,0.0990433392612603,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,4,energy/building01/CT10/current,0.6666666666666666,4,8.394623286274237,0.6095396676193535,0.8191122146566595,0.051060392560354,0.0811008026686125,0.0010234911046499,0.1314500156364015,0.0,6
energy,current,static,4,energy/building01/CT13/current,0.6666666666666666,4,8.19492129577304,0.8207140506885926,0.8219731629212063,0.1766039873166791,0.0432468041163693,0.0011999138585973,0.0714667236406366,0.0,6
energy,current,static,4,energy/building01/CT17/current,0.6666666666666666,4,8.049843609657588,0.2399405503823781,0.933369364991508,0.0775711438312625,0.4144886420796362,0.0022254837929996,0.6793625882779019,0.0,6
energy,current,static,4,energy/building01/CT2/current,0.6666666666666666,4,7.9081687602366175,0.1197465692601776,0.8004272266524284,0.0778827550254428,0.5381649474110032,0.0032255817987927,0.8814472087378641,0.0,6
energy,current,static,4,energy/building01/CT3/current,0.6666666666666666,4,8.046335817415931,0.13386483507953,0.8613901840581627,0.1309432883320594,0.5080020215633423,0.0032378338066686,0.8330525606469003,0.0,6
energy,current,static,4,energy/building01/CT4/current,0.6666666666666666,4,8.143645771127836,0.3552178322607181,0.9781293519514036,0.0622207325613326,0.2090350509705348,0.0016634797712673,0.345370758273984,0.0,6
energy,current,static,4,energy/building01/CT5/current,0.6666666666666666,4,7.929687349281461,0.2808768553190783,0.7986738869527459,0.1251561705366521,0.0776126444916253,0.0010539207879966,0.1289050652107977,0.0,6
energy,current,static,4,energy/building01/CT6/current,0.6666666666666666,4,7.9714109237570705,0.0359388302324191,0.8274240539917255,0.0991699526104988,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,4,energy/building01/CT7/current,0.6666666666666666,4,7.971423888570533,0.0359375872313481,0.8272895852148525,0.0987832890784892,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,current,static,4,energy/building01/CT8/current,0.6666666666666666,4,7.978887988460438,0.0608638710170254,0.8266849427261346,0.0988566971013747,0.6022888188885357,0.0027713742257259,0.986850851082276,0.0,6
energy,current,static,4,energy/building01/CT9/current,0.6666666666666666,4,7.378563772110873,3.335789717152532,0.9348963814366624,0.2181657909047487,0.0123281175912754,0.0002558365673377,0.021118284276179,0.0,6
energy,power_kw,static,1,energy,0.3333333333333333,4,1.0219946973714735,0.006475117010259,0.8140953847139336,0.0488942183978699,0.985730099814882,0.0003300455965826,7.861105684704044,0.0,6
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,1.0219946973714735,0.006475117010259,0.8140953847139336,0.0488942183978699,0.985730099814882,0.0003300455965826,7.861105684704044,0.0,6
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,7.971403158133959,0.035961249677466,0.8271096488716846,0.0989246099831879,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,3,energy/building01/CT10,0.3333333333333333,4,7.9714283283097105,0.035941864971397,0.8273098336037229,0.0988235412502088,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,3,energy/building01/CT13,0.3333333333333333,4,8.054556426898678,0.8499869395711355,0.8492378357113394,0.1717378448619255,0.043135369935199,0.0011997856900586,0.0717795342875454,0.0,6
energy,power_kw,static,3,energy/building01/CT17,0.3333333333333333,4,7.96824643671003,0.0347198279033696,0.8271491614578369,0.0989156895651622,0.6098552504279229,0.0028292543286115,0.9987162313016298,0.0,6
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,7.97557121805795,0.0362482235756008,0.8275301990253124,0.0997341128086048,0.6090654880875301,0.0028941635143357,0.997916842609014,0.0,6
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,7.985068410722413,0.0750899987060013,0.8042988171062545,0.0566697448769958,0.5691876750700281,0.0037829332576407,0.9325227963525836,0.0,6
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,8.165578348690667,0.349019018099576,0.9800468881306896,0.0655314909982484,0.2090350509705348,0.0016634797712673,0.3454545454545454,0.0,6
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,7.732565098163346,0.5230498144992888,0.8168177242986451,0.1663478935945297,0.099815674270103,0.0028560740809556,0.1641157302261281,0.0,6
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,7.971423266361168,0.035947149219323,0.8272547493567264,0.0990030890530299,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,3,energy/building01/CT7,0.3333333333333333,4,7.971429612502405,0.0359451356808143,0.8272935682430443,0.0988365838064855,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,3,energy/building01/CT8,0.3333333333333333,4,7.977724804731605,0.0602815146244268,0.8266446692070297,0.0988065283438606,0.6023804021261844,0.0027687665425249,0.9869713427316849,0.0,6
energy,power_kw,static,3,energy/building01/CT9,0.3333333333333333,4,8.431377499836156,1.3862646781968946,1.0112091472664506,0.1250645080003505,0.0388040712468193,0.0013692861994031,0.0640373197625106,0.0,6
energy,power_kw,static,4,energy/building01/CT1/power_kw,0.3333333333333333,4,7.971403158133959,0.035961249677466,0.8271096488716846,0.0989246099831879,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,4,energy/building01/CT10/power_kw,0.3333333333333333,4,7.9714283283097105,0.035941864971397,0.8273098336037229,0.0988235412502088,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,4,energy/building01/CT13/power_kw,0.3333333333333333,4,8.054556426898678,0.8499869395711355,0.8492378357113394,0.1717378448619255,0.043135369935199,0.0011997856900586,0.0717795342875454,0.0,6
energy,power_kw,static,4,energy/building01/CT17/power_kw,0.3333333333333333,4,7.96824643671003,0.0347198279033696,0.8271491614578369,0.0989156895651622,0.6098552504279229,0.0028292543286115,0.9987162313016298,0.0,6
energy,power_kw,static,4,energy/building01/CT2/power_kw,0.3333333333333333,4,7.97557121805795,0.0362482235756008,0.8275301990253124,0.0997341128086048,0.6090654880875301,0.0028941635143357,0.997916842609014,0.0,6
energy,power_kw,static,4,energy/building01/CT3/power_kw,0.3333333333333333,4,7.985068410722413,0.0750899987060013,0.8042988171062545,0.0566697448769958,0.5691876750700281,0.0037829332576407,0.9325227963525836,0.0,6
energy,power_kw,static,4,energy/building01/CT4/power_kw,0.3333333333333333,4,8.165578348690667,0.349019018099576,0.9800468881306896,0.0655314909982484,0.2090350509705348,0.0016634797712673,0.3454545454545454,0.0,6
energy,power_kw,static,4,energy/building01/CT5/power_kw,0.3333333333333333,4,7.732565098163346,0.5230498144992888,0.8168177242986451,0.1663478935945297,0.099815674270103,0.0028560740809556,0.1641157302261281,0.0,6
energy,power_kw,static,4,energy/building01/CT6/power_kw,0.3333333333333333,4,7.971423266361168,0.035947149219323,0.8272547493567264,0.0990030890530299,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,4,energy/building01/CT7/power_kw,0.3333333333333333,4,7.971429612502405,0.0359451356808143,0.8272935682430443,0.0988365838064855,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,power_kw,static,4,energy/building01/CT8/power_kw,0.3333333333333333,4,7.977724804731605,0.0602815146244268,0.8266446692070297,0.0988065283438606,0.6023804021261844,0.0027687665425249,0.9869713427316849,0.0,6
energy,power_kw,static,4,energy/building01/CT9/power_kw,0.3333333333333333,4,8.431377499836156,1.3862646781968946,1.0112091472664506,0.1250645080003505,0.0388040712468193,0.0013692861994031,0.0640373197625106,0.0,6
energy,voltage,static,1,energy,0.3333333333333333,4,0.6673623741580005,0.0028766694769715,0.8516179132231684,0.0815862278987469,0.9970557865654563,0.0002048854948564,11.984595205536795,0.0,6
energy,voltage,static,2,energy/building01,0.3333333333333333,4,0.6673623741580005,0.0028766694769715,0.8516179132231684,0.0815862278987469,0.9970557865654563,0.0002048854948564,11.984595205536795,0.0,6
energy,voltage,static,3,energy/building01/CT1,0.3333333333333333,4,7.971472080150046,0.0360303677064152,0.8276617926558055,0.0986402674625424,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,voltage,static,3,energy/building01/CT10,0.3333333333333333,4,7.971463893435117,0.0360428707372848,0.8276754943513271,0.0985892113698996,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,voltage,static,3,energy/building01/CT13,0.3333333333333333,4,7.971464623992471,0.0360339489053076,0.8277424987512824,0.0985525233349257,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
