dataset,sensor,clamp_mode,subscription_level,scope,approach,epsilon,w,P,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,eps_count_spent,compute_ms_per_element,noise_scale,strategy,P_min,P_max
energy,power_kw,static,2,energy/building01,ldp,1.0,8,6,50.0,1,1077,3.181803719113347,159.09018595566735,1.4872891174947067,1.0,1.0,0.0,0.0617608213097803,400.0,,,
energy,power_kw,static,2,energy/building01,ldp,1.0,8,6,50.0,2,2077,3.159115191408544,157.9557595704272,1.5080034204824675,1.0,1.0,0.0,0.0455222102497298,400.0,,,
energy,power_kw,static,2,energy/building01,ldp,1.0,8,6,50.0,3,3077,3.181827747070993,159.09138735354964,1.4823005845800683,1.0,1.0,0.0,0.0458100760459086,400.0,,,
energy,power_kw,static,2,energy/building01,ldp,1.0,8,6,50.0,4,4077,3.16842083305238,158.421041652619,1.4912454556110806,1.0,1.0,0.0,0.0473213663102077,400.0,,,
energy,power_kw,static,2,energy/building01,ldp,1.0,8,6,50.0,5,5077,3.1763580726962406,158.81790363481204,1.37300957787936,1.0,1.0,0.0,0.0460162202419605,400.0,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,0,77,1.010520066769676,50.52600333848379,0.9587642830478376,0.9987162671280664,0.1280562502018617,0.0,0.1690670270978543,,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,1,1077,1.021248607964745,51.06243039823725,0.935249102813698,0.9987162671280664,0.1280562502018617,0.0,0.1678074875969337,,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,2,2077,1.03193396662111,51.5966983310555,1.0282172861472227,0.9987162671280664,0.1280562502018617,0.0,0.1675698847470388,,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,3,3077,1.0223033615410089,51.11516807705045,0.7981555153548424,0.9987162671280664,0.1280562502018617,0.0,0.2149978752244584,,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,4,4077,1.023929878434971,51.19649392174856,0.8396386286487941,0.9987162671280664,0.1280562502018617,0.0,0.1694200919004417,,,,
energy,power_kw,static,2,energy/building01,per_type_wevent,1.0,8,6,50.0,5,5077,1.0229657612319758,51.14828806159879,0.9503803057793124,0.9987162671280664,0.1280562502018617,0.0,0.1663491885942877,,,,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,0,77,0.8300554355608709,41.502771778043545,0.3553077957697806,0.5512516395501353,0.0629500889131531,1791.6499999989182,0.1702924049054593,,p_gated_uniform,6.0,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,1,1077,0.8316727457544681,41.583637287723406,0.3875849081667555,0.5584237992911562,0.0625944024216076,1791.6499999989182,0.171189200397358,,p_gated_uniform,6.0,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,2,2077,0.8355065712421026,41.77532856210513,0.3572731216399058,0.5537632908213099,0.0625631704880222,1791.6499999989182,0.1690383869923822,,p_gated_uniform,6.0,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,3,3077,0.8296626455934987,41.48313227967493,0.5710586513353247,0.5532609605670751,0.0624378666956925,1791.6499999989182,0.1694733651410373,,p_gated_uniform,6.0,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,4,4077,0.8275166247987578,41.37583123993789,0.3322689322892334,0.5579214690369213,0.062388986569207,1791.6499999989182,0.169481455981538,,p_gated_uniform,6.0,
energy,power_kw,static,2,energy/building01,ours,1.0,8,6,50.0,5,5077,0.8256998297467901,41.284991487339504,0.7063543673974471,0.5523121145312979,0.0626699638952936,1791.6499999989182,0.1712293024591888,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,0,77,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,1,1077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,2,2077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,3,3077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,4,4077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,classic,1.0,8,6,50.0,5,5077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,0,77,8.02133724026963,401.0668620134816,0.8775760890016062,1.0,1.0,0.0,0.0344417563709262,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,1,1077,8.061625416066146,403.0812708033073,0.8440053767245564,1.0,1.0,0.0,0.0317821870871021,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,2,2077,8.00804025044941,400.4020125224705,0.9393568174997016,1.0,1.0,0.0,0.0340701369094896,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,3,3077,8.048120975681039,402.406048784052,0.9008780155856344,1.0,1.0,0.0,0.0319002222235361,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,4,4077,8.018117128437686,400.90585642188427,0.8241614874110662,1.0,1.0,0.0,0.0344940519931211,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,ldp,1.0,8,6,50.0,5,5077,8.087641251734368,404.3820625867184,0.8086643523943693,1.0,1.0,0.0,0.0342500385975501,400.0,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,0,77,7.898403510848636,394.9201755424318,0.726613155740923,0.9987162671280664,1.0,0.0,0.1670159764742887,,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,1,1077,7.981617390977083,399.0808695488541,0.8579464112791282,0.9987162671280664,1.0,0.0,0.2161052566931561,,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,2,2077,8.05518649461334,402.75932473066695,0.9377198464028924,0.9987162671280664,1.0,0.0,0.167172940643532,,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,3,3077,7.981728817060072,399.0864408530037,0.9848117650101386,0.9987162671280664,1.0,0.0,0.1718261350717974,,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,4,4077,7.991721718440528,399.5860859220264,0.9126897642498256,0.9987162671280664,1.0,0.0,0.1690514053266955,,,,
energy,power_kw,static,3,energy/building01/CT1,per_type_wevent,1.0,8,6,50.0,5,5077,7.984857715768562,399.2428857884281,0.9933288215853604,0.9987162671280664,1.0,0.0,0.1689190171326624,,,,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,0,77,0.8624406044886328,43.12203022443164,0.7532602506216133,0.3946641364105712,0.0645154548388957,1791.6499999989182,0.1698640084833279,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,1,1077,0.8557736558547869,42.788682792739344,0.46091579292251,0.403789802695839,0.0638437842292672,1791.6499999989182,0.1680631102313181,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,2,2077,0.8387481138326051,41.937405691630254,0.5728276170612138,0.3948315798286496,0.0633984127507503,1791.6499999989182,0.1713098695616199,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,3,3077,0.857553287359007,42.87766436795035,0.303148011637539,0.399436273825803,0.0636014136378436,1791.6499999989182,0.168391708141408,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,4,4077,0.8210052800969038,41.05026400484519,0.585609449342946,0.3993804593531103,0.0632477815653727,1791.6499999989182,0.1677527988996293,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT1,ours,1.0,8,6,50.0,5,5077,0.8566172449635873,42.830862248179365,0.3508637566768434,0.3982083554265621,0.0647802442693193,1791.6499999989182,0.1705447360008254,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,0,77,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,1,1077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,2,2077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,3,3077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
