dataset,sensor,clamp_mode,subscription_level,scope,approach,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,compute_ms_per_element_mean,compute_ms_per_element_std,eps_count_spent_mean.1,eps_count_spent_std.1,n_trials
energy,current,static,1,energy,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,1,energy,ldp,3.787843402227033,0.0178807799003122,378.78434022270335,1.7880779900312176,1.2788280918819517,0.0582391782971775,1.0,0.0,1.0,0.0,0.0,0.0,0.0419049514054641,0.0005713135570196,0.0,0.0,6
energy,current,static,1,energy,ours,0.257215684267603,0.0033942941868343,25.721568426760303,0.3394294186834319,0.2496680573870211,0.0803416371961974,0.4999674415575959,0.0032502846247173,0.0291121013690884,0.0001420071155229,447.9124999997296,0.0,0.1764978987104211,0.0016066683492948,447.9124999997296,0.0,6
energy,current,static,1,energy,per_type_wevent,1.4990875719124943,0.0115632413004732,149.9087571912494,1.1563241300473162,0.7235051604081321,0.0806577953601117,0.9987162671280664,0.0,0.1880202927042561,0.0,0.0,0.0,0.1750139366047718,0.0015763887356841,0.0,0.0,6
energy,current,static,2,energy/building01,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,2,energy/building01,ldp,3.787843402227033,0.0178807799003122,378.78434022270335,1.7880779900312176,1.2788280918819517,0.0582391782971775,1.0,0.0,1.0,0.0,0.0,0.0,0.0422159896747556,0.000855715053674,0.0,0.0,6
energy,current,static,2,energy/building01,ours,0.257215684267603,0.0033942941868343,25.721568426760303,0.3394294186834319,0.2496680573870211,0.0803416371961974,0.4999674415575959,0.0032502846247173,0.0291121013690884,0.0001420071155229,447.9124999997296,0.0,0.1772117393516371,0.0013786750721263,447.9124999997296,0.0,6
energy,current,static,2,energy/building01,per_type_wevent,1.4990875719124943,0.0115632413004732,149.9087571912494,1.1563241300473162,0.7235051604081321,0.0806577953601117,0.9987162671280664,0.0,0.1880202927042561,0.0,0.0,0.0,0.1746906451645023,0.0013368711971146,0.0,0.0,6
energy,current,static,3,energy/building01/CT1,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT1,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8662767659396214,0.0501640980908615,1.0,0.0,1.0,0.0,0.0,0.0,0.0329394780835377,0.0005728413640049,0.0,0.0,6
energy,current,static,3,energy/building01/CT1,ours,0.2633415117814263,0.0038378401856834,26.334151178142637,0.3837840185683396,0.2167759193738044,0.0895506764374758,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1766575608888654,0.0022186273896546,447.9124999997296,0.0,6
energy,current,static,3,energy/building01/CT1,per_type_wevent,7.982265915423998,0.0499015679774115,798.2265915423999,4.99015679774114,0.9011785101103524,0.0984506848257177,0.9987162671280664,0.0,1.0,0.0,0.0,0.0,0.1741005386618329,0.0007539743310025,0.0,0.0,6
energy,current,static,3,energy/building01/CT10,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT10,ldp,7.883354766904404,0.2093605209906034,788.3354766904404,20.936052099060365,0.8701099948000858,0.0992266133881892,1.0,0.0,1.0,0.0,0.0,0.0,0.0051526107093231,4.110859547332039e-05,0.0,0.0,6
energy,current,static,3,energy/building01/CT10,ours,0.2533618384708819,0.0075944646443679,25.33618384708819,0.7594464644367911,0.1914604497275245,0.066750969368384,0.4672504256575975,0.0048817043357481,0.0288266121295148,0.0003613426808086,119.91250000001872,0.0,0.177422812676929,0.0016554831515757,119.91250000001872,0.0,6
energy,current,static,3,energy/building01/CT10,per_type_wevent,7.878535688516446,0.3562296189874129,787.8535688516446,35.62296189874123,0.9002278773504945,0.0734186250275808,0.1314500156364015,0.0,1.0,0.0,0.0,0.0,0.1683167555340991,0.0023044550088371,0.0,0.0,6
energy,current,static,3,energy/building01/CT13,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT13,ldp,7.920449688448207,0.3214358999451854,792.0449688448207,32.14358999451853,0.8551791406059498,0.1197053622139347,1.0,0.0,1.0,0.0,0.0,0.0,0.003246899721365,1.8394976246762585e-05,0.0,0.0,6
energy,current,static,3,energy/building01/CT13,ours,0.2545343528398144,0.0083112812004451,25.453435283981445,0.8311281200445169,0.2076999068355008,0.0786159248227384,0.4664565751522273,0.0051608219586731,0.0288553085029935,0.0004090698655969,117.01250000001804,0.0,0.1793407136698749,0.0037675972959273,117.01250000001804,0.0,6
energy,current,static,3,energy/building01/CT13,per_type_wevent,8.32447601704885,0.8091505533271082,832.4476017048851,80.91505533271086,0.9225916953716284,0.1509105559479433,0.0714667236406366,0.0,1.0,0.0,0.0,0.0,0.1687979733700614,0.00219650831717,0.0,0.0,6
energy,current,static,3,energy/building01/CT17,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT17,ldp,8.001572756536879,0.0354470669316992,800.1572756536879,3.54470669316991,0.8477262605722324,0.1254217763360804,1.0,0.0,1.0,0.0,0.0,0.0,0.023370962840513,0.0010091037789221,0.0,0.0,6
energy,current,static,3,energy/building01/CT17,ours,0.2592643165940602,0.0051727471419698,25.926431659406017,0.5172747141969897,0.157701751257075,0.0506036656365215,0.4688738657169876,0.0040346082250638,0.0289469452046375,0.0002458073261032,207.0874999999486,0.0,0.1762945739948248,0.001678797963234,207.0874999999486,0.0,6
energy,current,static,3,energy/building01/CT17,per_type_wevent,8.325284411840949,0.332573796667287,832.528441184095,33.2573796667287,0.8871259130452901,0.0747153546486108,0.6793625882779019,0.0,1.0,0.0,0.0,0.0,0.1735238923545858,0.0038795263644984,0.0,0.0,6
energy,current,static,3,energy/building01/CT2,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT2,ldp,8.042293116816277,0.0425901227509974,804.2293116816277,4.259012275099762,0.9104817871296564,0.0802930937063217,1.0,0.0,1.0,0.0,0.0,0.0,0.0291825017970023,0.0005939274027895,0.0,0.0,6
energy,current,static,3,energy/building01/CT2,ours,0.2565553927008184,0.0049139582727823,25.65553927008185,0.4913958272782383,0.2290345577509473,0.0939823210735215,0.4700394417475728,0.0030620102377785,0.0290517553568371,0.0001796867024606,329.5999999998372,0.0,0.1773869937617579,0.0022341519398023,329.5999999998372,0.0,6
energy,current,static,3,energy/building01/CT2,per_type_wevent,8.001354714815355,0.0741555801486999,800.1354714815355,7.415558014870008,0.8160144177288142,0.0705249444910045,0.8814472087378641,0.0,1.0,0.0,0.0,0.0,0.1734869072497766,0.0015518083103542,0.0,0.0,6
energy,current,static,3,energy/building01/CT3,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT3,ldp,8.043299028518224,0.058270472106811,804.3299028518223,5.8270472106811,0.8903941351673209,0.0820421250911367,1.0,0.0,1.0,0.0,0.0,0.0,0.0272971459412249,0.0001070802385024,0.0,0.0,6
energy,current,static,3,energy/building01/CT3,ours,0.2558812986768931,0.0059875655859239,25.588129867689304,0.598756558592398,0.1873697004253585,0.0454945217155704,0.4696765498652291,0.0026034305749327,0.0289976532431416,0.0001977509517574,296.799999999867,0.0,0.1765095451128667,0.0018959916457159,296.799999999867,0.0,6
energy,current,static,3,energy/building01/CT3,per_type_wevent,7.919785214407017,0.1030220201507706,791.9785214407017,10.302202015077077,0.8256386545449534,0.1067710013974169,0.8330525606469003,0.0,1.0,0.0,0.0,0.0,0.173545662253204,0.0020129642250714,0.0,0.0,6
energy,current,static,3,energy/building01/CT4,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT4,ldp,7.952614551832159,0.1017855546686642,795.2614551832158,10.178555466866383,0.8899697838844453,0.161542985355594,1.0,0.0,1.0,0.0,0.0,0.0,0.0119853992043215,0.0002098584360592,0.0,0.0,6
energy,current,static,3,energy/building01/CT4,ours,0.2556155529364138,0.0054633351827969,25.56155529364138,0.5463335182796896,0.2257039712446441,0.1305130865566687,0.4680631196760229,0.0046220358543233,0.0289930891382776,0.0003162424816173,149.18750000000125,0.0,0.1775153131982304,0.0017478227918315,149.18750000000125,0.0,6
energy,current,static,3,energy/building01/CT4,per_type_wevent,7.964691498158331,0.2315960528476337,796.4691498158331,23.15960528476337,0.8627462588974817,0.1222113339618981,0.345370758273984,0.0,1.0,0.0,0.0,0.0,0.1721680472144406,0.0012782651008491,0.0,0.0,6
energy,current,static,3,energy/building01/CT5,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT5,ldp,7.88206999337605,0.2042343541483307,788.206999337605,20.423435414833083,0.871361114446881,0.098253823294491,1.0,0.0,1.0,0.0,0.0,0.0,0.005211056546184,0.0001847180959126,0.0,0.0,6
energy,current,static,3,energy/building01/CT5,ours,0.2534296285950714,0.0080427092417481,25.34296285950715,0.8042709241748133,0.2146020936211422,0.0847106035375272,0.4679675125534998,0.0046267473864281,0.0289010569332101,0.0004499251124202,123.63750000001954,0.0,0.1765357574696693,0.0017561658529937,123.63750000001954,0.0,6
energy,current,static,3,energy/building01/CT5,per_type_wevent,8.247176381653578,0.8143069881167198,824.7176381653577,81.43069881167196,0.9029644058709037,0.069574370644675,0.1289050652107977,0.0,1.0,0.0,0.0,0.0,0.167461726137979,0.0020452454331578,0.0,0.0,6
energy,current,static,3,energy/building01/CT6,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT6,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8660817986608338,0.0491910896160072,1.0,0.0,1.0,0.0,0.0,0.0,0.0334267534268213,0.0007370674294637,0.0,0.0,6
energy,current,static,3,energy/building01/CT6,ours,0.2573456914278378,0.0038960616100942,25.734569142783787,0.3896061610094227,0.2189925306978056,0.0852457949951238,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1764499118023152,0.0021649885437829,447.9124999997296,0.0,6
energy,current,static,3,energy/building01/CT6,per_type_wevent,7.982253480424603,0.0498986345259467,798.2253480424603,4.989863452594676,0.9027102792857076,0.0995088223958817,0.9987162671280664,0.0,1.0,0.0,0.0,0.0,0.1752024207484395,0.0011592386986547,0.0,0.0,6
energy,current,static,3,energy/building01/CT7,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT7,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8658572152544951,0.0491137082486461,1.0,0.0,1.0,0.0,0.0,0.0,0.0334697906093716,0.0008609165310836,0.0,0.0,6
energy,current,static,3,energy/building01/CT7,ours,0.2564133843031493,0.0039056347195677,25.641338430314946,0.3905634719567713,0.291160282016679,0.1845259805369277,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1761740156376508,0.001188570824963,447.9124999997296,0.0,6
energy,current,static,3,energy/building01/CT7,per_type_wevent,7.982247276490923,0.0498937844203099,798.2247276490922,4.989378442031021,0.9025541724708982,0.0994258986319358,0.9987162671280664,0.0,1.0,0.0,0.0,0.0,0.1751697795789917,0.0016701586168611,0.0,0.0,6
energy,current,static,3,energy/building01/CT8,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT8,ldp,8.044146143418137,0.0292941438385194,804.4146143418137,2.929414383851905,0.8617690099086032,0.0487253696040189,1.0,0.0,1.0,0.0,0.0,0.0,0.0329225018394875,0.000640789024833,0.0,0.0,6
energy,current,static,3,energy/building01/CT8,ours,0.2565192261438452,0.0042679105971807,25.65192261438452,0.4267910597180755,0.2625590495701781,0.1047035323847192,0.4710863219952028,0.0032495380089049,0.0290231740618502,0.0002217965729333,432.5374999997436,0.0,0.1772231166219379,0.0017751190967696,432.5374999997436,0.0,6
energy,current,static,3,energy/building01/CT8,per_type_wevent,8.02531365414886,0.060637012836493,802.531365414886,6.0637012836493485,0.902319062410888,0.0986315840061708,0.986850851082276,0.0,1.0,0.0,0.0,0.0,0.1745707869542571,0.0014986477713525,0.0,0.0,6
energy,current,static,3,energy/building01/CT9,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,3,energy/building01/CT9,ldp,7.570799132758244,0.6512046966182686,757.0799132758244,65.12046966182687,0.7544967111420352,0.0984295375018155,1.0,0.0,1.0,0.0,0.0,0.0,0.0015815704879973,8.64931839581085e-06,0.0,0.0,6
energy,current,static,3,energy/building01/CT9,ours,0.254113746390945,0.0084252019018887,25.4113746390945,0.8425201901888707,0.2074507802224857,0.0863235414615448,0.4667177298756246,0.0048262878402384,0.0288854065252473,0.0004489071657414,114.2375000000174,0.0,0.1793634289715361,0.0073291981147731,114.2375000000174,0.0,6
energy,current,static,3,energy/building01/CT9,per_type_wevent,4.867015614698942,3.2807007426511867,486.7015614698942,328.07007426511865,0.8540599908487515,0.0975959115113957,0.021118284276179,0.0,1.0,0.0,0.0,0.0,0.0758997281298525,0.0008483886880608,0.0,0.0,6
energy,current,static,4,energy/building01/CT1/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
