P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9789503227617177,0,True,0,seed,0
3,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9980353634577603,0,True,1,probe_P=3,0
5,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9744597249508841,0,True,1,probe_P=5,0
4,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9789503227617177,0,True,1,stop_local_optimum,0
8,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.7569463934886331,0,True,0,r1_seed,1
7,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9393769295537469,0,True,1,r1_probe_P=7,1
9,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.22649452708391804,0,True,1,r1_probe_P=9,1
8,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.7569463934886331,0,True,1,r1_stop_local_optimum,1
4,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9789503227617177,2969,True,0,seed,0
3,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9980353634577603,2969,True,1,probe_P=3,0
5,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9744597249508841,2969,True,1,probe_P=5,0
4,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9789503227617177,2969,True,1,stop_local_optimum,0
8,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.7569463934886331,2969,True,0,r1_seed,1
7,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9393769295537469,2969,True,1,r1_probe_P=7,1
9,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.22649452708391804,2969,True,1,r1_probe_P=9,1
8,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.7569463934886331,2969,True,1,r1_stop_local_optimum,1
4,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9789503227617177,1330,True,0,seed,0
3,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9980353634577603,1330,True,1,probe_P=3,0
5,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9744597249508841,1330,True,1,probe_P=5,0
4,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9789503227617177,1330,True,1,stop_local_optimum,0
8,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.7569463934886331,1330,True,0,r1_seed,1
7,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9393769295537469,1330,True,1,r1_probe_P=7,1
9,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.22649452708391804,1330,True,1,r1_probe_P=9,1
8,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.7569463934886331,1330,True,1,r1_stop_local_optimum,1
4,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9789503227617177,1768,True,0,seed,0
