strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup
uniform,8,0.7584638364942083,0.7573633779698232,0.9455393695341539,0.9944977073780742,6,4,2,4;8,12,0.7584638364942083,0.7573633779698232,0.9455393695341539,0.9944977073780742,12,0.0,-4,2.0
sample,8,0.2926212754766325,0.1257739779915693,0.7203195838539411,0.16576351257468389,6,4,2,4;8,12,0.2926212754766325,0.1257739779915693,0.7203195838539411,0.16576351257468389,12,0.0,-4,2.0
budget_distribution,8,1.2447622608834157,1.1698977339972132,0.41460547980422496,0.6256773655689871,6,4,2,4;8,12,1.2447622608834157,1.1698977339972132,0.41460547980422496,0.6256773655689871,12,0.0,-4,2.0
budget_absorption,8,0.9790536857479695,0.8777059019491644,0.5658762407195577,0.4932610810059747,6,4,2,4;8,12,0.9790536857479695,0.8777059019491644,0.5658762407195577,0.4932610810059747,12,0.0,-4,2.0
p_gated_uniform,12,0.48413315970396653,0.3665786230914891,0.4112811492054597,0.4122273169376129,16,4,2,4;8,12,0.48413315970396653,0.3665786230914891,0.4112811492054597,0.4122273169376129,12,0.0,0,0.75
p_gated_sample,12,0.2463031412323887,0.060081104272544296,0.7269972441192553,0.0688898152007781,16,4,2,4;8,12,0.2463031412323887,0.060081104272544296,0.7269972441192553,0.0688898152007781,12,0.0,0,0.75
p_gated_ba,12,0.5320287486618618,0.36939431764893976,0.3474695430656716,0.18682784493538976,16,4,2,4;8,12,0.5320287486618618,0.36939431764893976,0.3474695430656716,0.18682784493538976,12,0.0,0,0.75
n_weighted,12,0.4918593718680302,0.3740714046594711,0.08082177637651634,0.4110601639572044,16,4,2,4;8,12,0.4918593718680302,0.3740714046594711,0.08082177637651634,0.4110601639572044,12,0.0,0,0.75
