strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup
uniform,8,0.7837147921862203,0.7837147921862203,0.5063664496651339,1.0,6,4,2,4;8,9,0.7837147921862203,0.7837147921862203,0.5063664496651339,1.0,9,0.0,-1,1.5
sample,8,0.2941098615685435,0.12745255031398275,0.8139372529105371,0.16671344372719618,6,4,2,4;8,9,0.2941098615685435,0.12745255031398275,0.8139372529105371,0.16671344372719618,9,0.0,-1,1.5
budget_distribution,8,1.2366161800769166,1.1619599914718086,0.34719032122042526,0.6267190569744597,6,4,2,4;8,9,1.2366161800769166,1.1619599914718086,0.34719032122042526,0.6267190569744597,9,0.0,-1,1.5
budget_absorption,8,1.0097237590835202,0.9104815474640983,0.28101020840426155,0.5037889419028908,6,4,2,4;8,9,1.0097237590835202,0.9104815474640983,0.28101020840426155,0.5037889419028908,9,0.0,-1,1.5
p_gated_uniform,9,0.5479119962263607,0.44328106723393856,0.2559644373558205,0.47684535503788944,10,4,2,4;8,9,0.5479119962263607,0.44328106723393856,0.2559644373558205,0.47684535503788944,9,0.0,0,0.9
p_gated_sample,8,0.2528606766383455,0.06835323908572127,0.8739922925558504,0.07746281223687904,10,4,2,4;8,8,0.2528606766383455,0.06835323908572127,0.8739922925558504,0.07746281223687904,9,0.0,0,0.9
p_gated_ba,9,0.555883948304648,0.39916208470655656,0.3434259808780613,0.2163906820095425,10,4,2,4;8,9,0.555883948304648,0.39916208470655656,0.3434259808780613,0.2163906820095425,9,0.0,0,0.9
n_weighted,9,0.5445083701058113,0.43920385144176416,0.5192980787978071,0.47347740667976423,7,4,2,4;8,9,0.5445083701058113,0.43920385144176416,0.5192980787978071,0.47347740667976423,9,0.0,0,1.2857142857142858
