dataset,clamp_mode,strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup,sensor
energy,static,p_gated_sample,6,0.2926212754766325,0.1257739779915693,0.7203195838539411,0.1657635125746838,8,4,2,4;8,11,0.2884822958598488,0.0885823375438838,0.8779026780092835,0.000500208420175,12,0.0041389796167836,-5,1.5,power_kw
manufacturing,static,sample,10,0.2655687884942712,0.0989687884942711,0.8130471354452724,0.167,5,4,2,4;10,10,0.2655687884942712,0.0989687884942711,0.8130471354452724,0.167,10,0.0,0,2.0,temperature
mobility,static,p_gated_sample,6,0.3595851607928798,0.1734940336945584,0.392141707869427,0.0695443645083932,7,4,2,4;5,6,0.3595851607928798,0.1734940336945584,0.392141707869427,0.0695443645083932,6,0.0,0,0.8571428571428571,traffic_speed
pune,static,p_gated_sample,9,0.2686141626706398,0.0760797815311506,0.820106181149822,0.037328094302554,7,4,2,4;8,9,0.2686141626706398,0.0760797815311506,0.820106181149822,0.037328094302554,9,0.0,0,1.2857142857142858,pm10
traffic,static,p_gated_sample,6,0.3523710945633377,0.1851175734365771,0.5388536329283455,0.1637323943661972,5,4,2,4;6,6,0.3523710945633377,0.1851175734365771,0.5388536329283455,0.1637323943661972,6,0.0,0,1.2,speed
wearable,static,p_gated_sample,9,0.2698143513930723,0.0967051076955932,0.0919390844953394,0.134453781512605,6,4,2,4;10,9,0.2698143513930723,0.0967051076955932,0.0919390844953394,0.134453781512605,10,0.0,0,1.6666666666666667,heart_rate
