strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup
uniform,10,0.5630569374818464,0.5630569374818464,0.809761766046773,1.0,5,4,2,4;10,10,0.5630569374818464,0.5630569374818464,0.809761766046773,1.0,10,0.0,0,2.0
sample,10,0.2655687884942712,0.09896878849427118,0.8130471354452724,0.167,5,4,2,4;10,10,0.2655687884942712,0.09896878849427118,0.8130471354452724,0.167,10,0.0,0,2.0
budget_distribution,10,0.9750880660820893,0.9026880660820893,0.7782833512268217,0.638,5,4,2,4;10,10,0.9750880660820893,0.9026880660820893,0.7782833512268217,0.638,10,0.0,0,2.0
budget_absorption,10,0.8219321957518948,0.7247321957518948,0.4690139203839542,0.514,5,4,2,4;10,10,0.8219321957518948,0.7247321957518948,0.4690139203839542,0.514,10,0.0,0,2.0
p_gated_uniform,10,0.5092172433591596,0.40881724335915964,0.48456208970120745,0.498,10,4,2,4;10,10,0.5092172433591596,0.40881724335915964,0.48456208970120745,0.498,10,0.0,0,1.0
p_gated_sample,10,0.2575988039898067,0.07439880398980671,0.8904400390809976,0.084,6,4,2,4;10,10,0.2575988039898067,0.07439880398980671,0.8904400390809976,0.084,10,0.0,0,1.6666666666666667
p_gated_ba,10,0.5455961387106578,0.39139613871065776,0.18718576982205445,0.229,10,4,2,4;10,10,0.5455961387106578,0.39139613871065776,0.18718576982205445,0.229,10,0.0,0,1.0
n_weighted,9,0.5125193784418399,0.4183193784418399,0.7370282835965714,0.529,11,4,2,4;10,9,0.5125193784418399,0.4183193784418399,0.7370282835965714,0.529,10,0.0,0,0.9090909090909091
