P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated
1,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,1.0,0,True
2,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,1.0,0,True
3,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9988009592326139,0,True
4,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9676258992805755,0,True
5,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.7841726618705036,0,True
6,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.33213429256594723,0,True
1,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,1.0,695,True
2,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,1.0,695,True
3,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9988009592326139,695,True
4,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9676258992805755,695,True
5,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.7841726618705036,695,True
6,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.33213429256594723,695,True
1,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,1.0,286,True
2,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,1.0,286,True
3,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9988009592326139,286,True
4,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9676258992805755,286,True
5,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.7841726618705036,286,True
6,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.33213429256594723,286,True
1,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,1.0,388,True
2,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,1.0,388,True
3,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9988009592326139,388,True
4,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9676258992805755,388,True
5,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.7841726618705036,388,True
6,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.33213429256594723,388,True
1,p_gated_uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,1.0,0,True
2,p_gated_uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,1.0,0,True
3,p_gated_uniform,1.1510457818740982,0.9811900509493519,0.9988009592326139,0.2022609043617447,1.1512855900275754,5.08273381294964,0.9988009592326139,1,True
4,p_gated_uniform,1.1379283694518654,0.7793265947487077,0.9676258992805755,0.19803800082610495,1.1444031895957503,5.08273381294964,0.9676258992805755,27,True
5,p_gated_uniform,1.0517917447719447,0.38512042060673807,0.7841726618705036,0.18588175331294596,1.094957212397844,5.08273381294964,0.7841726618705036,180,True
6,p_gated_uniform,0.9340125837280284,0.653151073347164,0.33213429256594723,0.16666666666666663,1.067585725214839,5.08273381294964,0.33213429256594723,557,True
1,p_gated_sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,1.0,695,True
2,p_gated_sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,1.0,695,True
3,p_gated_sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9988009592326139,695,True
4,p_gated_sample,0.21492569316784127,0.5117333476364864,0.1606714628297362,0.19378109452736317,0.38279140060189404,5.08273381294964,0.9676258992805755,700,True
5,p_gated_sample,0.20492978077473148,0.5319048465997348,0.1342925659472422,0.18273809523809526,0.37807126758528303,5.08273381294964,0.7841726618705036,722,True
6,p_gated_sample,0.17349403369455843,0.392141707869427,0.06954436450839328,0.16666666666666663,0.3595851607928798,5.08273381294964,0.33213429256594723,776,True
1,p_gated_ba,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,1.0,388,True
2,p_gated_ba,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,1.0,388,True
3,p_gated_ba,1.5721334927498338,0.6269838463797185,0.5335731414868106,0.20194756554307117,1.6654188644524717,5.08273381294964,0.9988009592326139,389,True
4,p_gated_ba,1.520559613611162,0.49660862500140435,0.5155875299760192,0.1978294573643411,1.6174421076159582,5.08273381294964,0.9676258992805755,404,True
5,p_gated_ba,1.34240535743957,0.5896154414887287,0.4172661870503597,0.18515325670498087,1.4589521200294981,5.08273381294964,0.7841726618705036,486,True
6,p_gated_ba,1.4194767109087065,0.748744982666219,0.1618705035971223,0.1666666666666666,1.587102610189282,5.08273381294964,0.33213429256594723,699,True
1,n_weighted,1.1915661141600749,0.9396814070944862,1.0,0.20261790567545965,1.1915661141600749,5.08273381294964,1.0,0,True
2,n_weighted,1.1915661141600749,0.9396814070944862,1.0,0.20261790567545965,1.1915661141600749,5.08273381294964,1.0,0,True
3,n_weighted,1.1906450673624998,0.9384598973990027,0.9988009592326139,0.2022609043617447,1.1908848755159769,5.08273381294964,0.9988009592326139,1,True
4,n_weighted,1.1654305785363206,0.7780002342544664,0.9676258992805755,0.19803800082610495,1.1719053986802055,5.08273381294964,0.9676258992805755,27,True
5,n_weighted,1.0697306553412955,0.8930195382146315,0.7841726618705036,0.18588175331294596,1.1128961229671948,5.08273381294964,0.7841726618705036,180,True
6,n_weighted,0.9340125837280282,0.653151073347164,0.33213429256594723,0.16666666666666663,1.0675857252148389,5.08273381294964,0.33213429256594723,557,True
