strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup
uniform,10,1.30237992386745,1.30237992386745,0.25363130298746667,1.0,5,4,2,4;10,10,1.30237992386745,1.30237992386745,0.25363130298746667,1.0,10,0.0,0,2.0
sample,10,0.3932591267608593,0.22687257213901055,0.06937711625665924,0.16806722689075632,5,4,2,4;10,10,0.3932591267608593,0.22687257213901055,0.06937711625665924,0.16806722689075632,10,0.0,0,2.0
budget_distribution,10,3.4980695440921035,3.4308426533358007,0.05760675650062061,0.6638655462184874,5,4,2,4;10,10,3.4980695440921035,3.4308426533358007,0.05760675650062061,0.6638655462184874,10,0.0,0,2.0
budget_absorption,10,3.135811920813491,3.0484169628302977,0.2925629184239441,0.5630252100840336,5,4,2,4;10,10,3.135811920813491,3.0484169628302977,0.2925629184239441,0.5630252100840336,10,0.0,0,2.0
p_gated_uniform,10,0.5835672622642616,0.5348277664659422,0.44063780731115443,0.7563025210084033,6,4,2,4;10,8,0.5467018699748162,0.5080464077899423,0.48538249517129256,0.8067226890756303,10,0.03686539228944541,2,1.6666666666666667
p_gated_sample,9,0.2698143513930723,0.09670510769559329,0.09193908449533948,0.13445378151260504,6,4,2,4;10,9,0.2698143513930723,0.09670510769559329,0.09193908449533948,0.13445378151260504,10,0.0,0,1.6666666666666667
p_gated_ba,10,0.831447607993795,0.7138005491702656,0.6026308482510591,0.4117647058823529,5,4,2,4;10,10,0.831447607993795,0.7138005491702656,0.6026308482510591,0.4117647058823529,10,0.0,0,2.0
n_weighted,10,0.5835672622642616,0.5348277664659422,0.44063780731115443,0.7563025210084033,6,4,2,4;10,8,0.5467018699748162,0.5080464077899423,0.48538249517129256,0.8067226890756303,10,0.03686539228944541,2,1.6666666666666667
