P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9841549295774648,0,True,0,seed,0
3,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9841549295774648,0,True,1,probe_P=3,0
5,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True,1,probe_P=5,0
4,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9841549295774648,0,True,1,stop_local_optimum,0
6,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True,0,r1_seed,1
5,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True,1,r1_probe_P=5,1
6,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True,1,r1_stop_local_optimum,1
4,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9841549295774648,473,True,0,seed,0
3,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9841549295774648,473,True,1,probe_P=3,0
5,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True,1,probe_P=5,0
4,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9841549295774648,473,True,1,stop_local_optimum,0
6,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True,0,r1_seed,1
5,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True,1,r1_probe_P=5,1
6,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True,1,r1_stop_local_optimum,1
4,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9841549295774648,205,True,0,seed,0
3,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9841549295774648,205,True,1,probe_P=3,0
5,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True,1,probe_P=5,0
4,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9841549295774648,205,True,1,stop_local_optimum,0
6,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True,0,r1_seed,1
5,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True,1,r1_probe_P=5,1
6,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True,1,r1_stop_local_optimum,1
